name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Vinegar Hill,0,20181025,0,1,1,130.34,1,30,1000,residential,6,"LINESTRING (-76.5185740 42.4487870, -76.5185362 42.4488168, -76.5185121 42.4488402, -76.5184630 42.4488880, -76.5184050 42.4489880, -76.5182550 42.4493360, -76.5182256 42.4493989, -76.5181830 42.4494900, -76.5181250 42.4495680, -76.5180900 42.4496000, -76.5180330 42.4496410, -76.5179756 42.4496777, -76.5178110 42.4497830)",auto,1,0,,
Vinegar Hill,1,20181025,1,0,1,130.34,1,30,1000,residential,6,"LINESTRING (-76.5178110 42.4497830, -76.5179756 42.4496777, -76.5180330 42.4496410, -76.5180900 42.4496000, -76.5181250 42.4495680, -76.5181830 42.4494900, -76.5182256 42.4493989, -76.5182550 42.4493360, -76.5184050 42.4489880, -76.5184630 42.4488880, -76.5185121 42.4488402, -76.5185362 42.4488168, -76.5185740 42.4487870)",auto,1,0,,
Lake Avenue,2,20181084,2,3,1,119.38,1,30,800,unclassified,15,"LINESTRING (-76.5005138 42.4459622, -76.5012144 42.4468308, -76.5012600 42.4468844)",auto,1,0,,
Lake Avenue,3,20181084,3,2,1,119.38,1,30,800,unclassified,15,"LINESTRING (-76.5012600 42.4468844, -76.5012144 42.4468308, -76.5005138 42.4459622)",auto,1,0,,
Lake Avenue,4,20181084,3,4,1,119.19,1,30,800,unclassified,15,"LINESTRING (-76.5012600 42.4468844, -76.5012925 42.4469346, -76.5019573 42.4477572, -76.5019980 42.4478080)",auto,1,0,,
Lake Avenue,5,20181084,4,3,1,119.19,1,30,800,unclassified,15,"LINESTRING (-76.5019980 42.4478080, -76.5019573 42.4477572, -76.5012925 42.4469346, -76.5012600 42.4468844)",auto,1,0,,
Sugarbush Lane,6,20181087,5,6,1,86.31,1,30,1000,residential,6,"LINESTRING (-76.4595374 42.4293598, -76.4594388 42.4294047, -76.4593818 42.4294483, -76.4593681 42.4294627, -76.4593244 42.4295086, -76.4592764 42.4295796, -76.4592462 42.4296401, -76.4591612 42.4298739, -76.4591452 42.4299575, -76.4591526 42.4300439)",auto,1,0,,
Sugarbush Lane,7,20181087,6,5,1,86.31,1,30,1000,residential,6,"LINESTRING (-76.4591526 42.4300439, -76.4591452 42.4299575, -76.4591612 42.4298739, -76.4592462 42.4296401, -76.4592764 42.4295796, -76.4593244 42.4295086, -76.4593681 42.4294627, -76.4593818 42.4294483, -76.4594388 42.4294047, -76.4595374 42.4293598)",auto,1,0,,
Pittman Lane,8,20181089,7,8,1,184.74,1,30,1000,residential,6,"LINESTRING (-76.5107630 42.4233737, -76.5105079 42.4234754, -76.5102596 42.4235941, -76.5099262 42.4237540, -76.5096029 42.4239212, -76.5092610 42.4241737, -76.5091236 42.4242553, -76.5090264 42.4242997, -76.5089305 42.4243034)",auto,1,0,,
Pittman Lane,9,20181089,8,7,1,184.74,1,30,1000,residential,6,"LINESTRING (-76.5089305 42.4243034, -76.5090264 42.4242997, -76.5091236 42.4242553, -76.5092610 42.4241737, -76.5096029 42.4239212, -76.5099262 42.4237540, -76.5102596 42.4235941, -76.5105079 42.4234754, -76.5107630 42.4233737)",auto,1,0,,
Grandview Place,10,20181090,9,10,1,58.68,1,30,1000,residential,6,"LINESTRING (-76.4951253 42.4313923, -76.4951130 42.4310020, -76.4951080 42.4308640)",auto,1,0,,
Grandview Place,11,20181090,10,9,1,58.68,1,30,1000,residential,6,"LINESTRING (-76.4951080 42.4308640, -76.4951130 42.4310020, -76.4951253 42.4313923)",auto,1,0,,
South Plain Street,12,20181137,11,12,1,124.62,2,48,1200,tertiary,5,"LINESTRING (-76.5034531 42.4306824, -76.5034798 42.4307214, -76.5034898 42.4307691, -76.5034911 42.4307937, -76.5035514 42.4317984)",auto,1,0,,
