name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Comstock Hall,0,24303383,,university,,,,"POLYGON ((-76.4795542 42.4468736, -76.4792022 42.4468697, -76.4792075 42.4465036, -76.4791222 42.4465036, -76.4791328 42.446169, -76.4795542 42.4461769, -76.4795542 42.4468722, -76.4795542 42.4468736))",POINT (-76.479359 42.4465054),2462.6,26507.7
Biotechnology Building,1,24303385,,university,,,,"POLYGON ((-76.4787409 42.4461812, -76.4780687 42.4461805, -76.4780685 42.4463265, -76.4779723 42.4463264, -76.4779713 42.4468448, -76.4780226 42.4468455, -76.478192 42.4468455, -76.4782045 42.4468451, -76.4782047 42.4467417, -76.4783405 42.4467418, -76.4783408 42.4466295, -76.4784686 42.4466297, -76.4784688 42.4465232, -76.478618 42.4465234, -76.4786181 42.4464209, -76.4787405 42.4464211, -76.4787409 42.4461812))",POINT (-76.4782963 42.4464541),3241.5,34891.3
Teagle Hall,2,24303386,,sports_centre,,,,"POLYGON ((-76.4787812 42.446034, -76.4787812 42.4459711, -76.4785465 42.4459711, -76.4785465 42.4455275, -76.479223 42.4455275, -76.4794853 42.4455275, -76.4794853 42.4456991, -76.4794853 42.4457153, -76.4794853 42.445788, -76.479592 42.445788, -76.479592 42.446034, -76.4787812 42.446034))",POINT (-76.4790547 42.445781),4446.9,47865.8
Dale R Corson Hall,3,24303387,,university,,,,"POLYGON ((-76.4786799 42.4470929, -76.47868 42.4470291, -76.478631 42.4470291, -76.4785821 42.4470472, -76.4785491 42.4470855, -76.4785354 42.4471213, -76.4781617 42.4471213, -76.4781617 42.4469789, -76.478192 42.4469789, -76.478192 42.446938, -76.478192 42.4468455, -76.4780226 42.4468455, -76.4780226 42.4469365, -76.4780225 42.4471214, -76.4780011 42.4471214, -76.4780008 42.4473962, -76.4784619 42.4473965, -76.4784619 42.4473567, -76.4786796 42.4473568, -76.4786799 42.4470929))",POINT (-76.4783005 42.4471944),2110.4,22716.4
Mann Library,4,35067735,,university,library,,,"POLYGON ((-76.4757823 42.4485234, -76.4754726 42.4487789, -76.4760896 42.4491561, -76.476347 42.4489535, -76.4764184 42.4489552, -76.4766395 42.4489552, -76.4766771 42.4489563, -76.4766788 42.4487852, -76.4766701 42.4485113, -76.4765778 42.4485121, -76.4763789 42.4485139, -76.4760109 42.4485171, -76.4759093 42.4485925, -76.4757823 42.4485234))",POINT (-76.4761431 42.4487745),4672.4,50293.1
Olive Tjaden Hall,5,35068418,,university,,,,"POLYGON ((-76.4853446 42.4509669, -76.485348 42.4510283, -76.4851628 42.4510339, -76.4851511 42.4508217, -76.4853016 42.4508172, -76.4853008 42.4508027, -76.485384 42.4508002, -76.4853847 42.4508129, -76.4855534 42.4508079, -76.485552 42.4507831, -76.4856296 42.4507807, -76.4856394 42.450958, -76.4853446 42.4509669))",POINT (-76.4853809 42.4509007),798.3,8593.1
,6,40861771,,yes,,,,"POLYGON ((-76.4980504 42.4396544, -76.4979201 42.4396575, -76.4979264 42.4397996, -76.4979329 42.4399475, -76.498063 42.4399444, -76.4980567 42.4397984, -76.4980504 42.4396544))",POINT (-76.4979916 42.4398009),345.2,3715.7
,7,40861772,,yes,,,,"POLYGON ((-76.4979201 42.4396575, -76.4977797 42.4396613, -76.4977926 42.4399505, -76.4979329 42.4399475, -76.4979264 42.4397996, -76.4979201 42.4396575))",POINT (-76.4978564 42.4398042),371.6,4000.1
,8,40861773,,yes,,,,"POLYGON ((-76.4977797 42.4396613, -76.4977926 42.4399505, -76.4976767 42.4399526, -76.4976772 42.4399634, -76.4975748 42.4399658, -76.4975621 42.4396673, -76.4977797 42.4396613))",POINT (-76.4976764 42.4398111),584.5,6291.4
,9,40861774,,apartments,,,,"POLYGON ((-76.4969403 42.4396828, -76.4969478 42.4398587, -76.4974438 42.4398472, -76.4974363 42.4396713, -76.4969403 42.4396828))",POINT (-76.497192 42.439765),797.5,8584.7
