link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,FFTT,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,odme_volume,obs_count,upper_bound_type,obs_count_dev,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,qdf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before,volume_after,volume_diff,speed_before,speed_after,speed_diff,DoC_before,DoC_after,Doc_diff,P_before,P_after,P_diff,notes
0,qvdf,0,1,1.000000,0.130340,0.081007,0.162014,-1,0,,network_wide,-1,0,-1,-1,6,,,0700_0800,22.693,-1.000,0.000,,,,,0.000,22.693,0.162,30.000,1.000,0.023,0.023,1000.000,0.000,0.000,0.000,1.000,1.000,22.693,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,1.838,0.061,1.838,0.061,0.000,0.000,"LINESTRING (-76.5185740 42.4487870, -76.5185362 42.4488168, -76.5185121 42.4488402, -76.5184630 42.4488880, -76.5184050 42.4489880, -76.5182550 42.4493360, -76.5182256 42.4493989, -76.5181830 42.4494900, -76.5181250 42.4495680, -76.5180900 42.4496000, -76.5180330 42.4496410, -76.5179756 42.4496777, -76.5178110 42.4497830)",22.693,30.000,30.000,30.000,30.000,30.000,30.000,28.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,22.693,22.693,0.000,30.000,30.000,0.000,0.023,0.023,0.000,0.000,0.000,0.000,period-based
1,qvdf,1,0,1.000000,0.130340,0.081007,0.162014,-1,0,,network_wide,-1,0,-1,-1,6,,,0700_0800,25.635,-1.000,0.000,,,,,0.000,25.635,0.162,30.000,1.000,0.026,0.026,1000.000,0.000,0.000,0.000,1.000,1.000,25.635,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,2.077,0.069,2.077,0.069,0.000,0.000,"LINESTRING (-76.5178110 42.4497830, -76.5179756 42.4496777, -76.5180330 42.4496410, -76.5180900 42.4496000, -76.5181250 42.4495680, -76.5181830 42.4494900, -76.5182256 42.4493989, -76.5182550 42.4493360, -76.5184050 42.4489880, -76.5184630 42.4488880, -76.5185121 42.4488402, -76.5185362 42.4488168, -76.5185740 42.4487870)",25.635,30.000,30.000,30.000,30.000,30.000,30.000,28.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,25.635,25.635,0.000,30.000,30.000,0.000,0.026,0.026,0.000,0.000,0.000,0.000,period-based
26,qvdf,21,22,1.000000,1.292630,0.803375,1.606750,-1,0,,network_wide,-1,0,-1,-1,6,,,0700_0800,0.569,-1.000,0.000,,,,,0.000,0.569,1.607,30.000,1.000,0.001,0.001,1000.000,0.000,0.000,0.000,1.000,1.000,0.569,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,0.457,0.015,0.457,0.015,0.000,0.000,"LINESTRING (-76.4416670 42.4320120, -76.4416450 42.4321160, -76.4416400 42.4321610, -76.4416420 42.4325170, -76.4416540 42.4329310, -76.4416622 42.4330825, -76.4417191 42.4341269, -76.4417650 42.4349700, -76.4418022 42.4356021, -76.4418513 42.4364382, -76.4418630 42.4366370, -76.4419050 42.4373450, -76.4419475 42.4384142, -76.4419720 42.4390290, -76.4420011 42.4396985, -76.4420650 42.4411710, -76.4420720 42.4412160, -76.4420960 42.4412740, -76.4421350 42.4413230, -76.4421870 42.4413670, -76.4422510 42.4414030, -76.4423096 42.4414250, -76.4424000 42.4414410, -76.4425790 42.4414430, -76.4430950 42.4414460, -76.4431690 42.4414490, -76.4432400 42.4414620, -76.4433060 42.4414840, -76.4433640 42.4415190, -76.4434110 42.4415630, -76.4434450 42.4416130, -76.4434650 42.4416620, -76.4434690 42.4417160, -76.4432524 42.4427505, -76.4432450 42.4427860, -76.4432400 42.4428060, -76.4432341 42.4428290)",0.569,30.000,30.000,30.000,30.000,30.000,30.000,28.530,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,0.569,0.569,0.000,30.000,30.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,period-based
27,qvdf,22,21,1.000000,1.292630,0.803375,1.606750,-1,0,,network_wide,-1,0,-1,-1,6,,,0700_0800,0.536,-1.000,0.000,,,,,0.000,0.536,1.607,30.000,1.000,0.001,0.001,1000.000,0.000,0.000,0.000,1.000,1.000,0.536,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,0.431,0.014,0.431,0.014,0.000,0.000,"LINESTRING (-76.4432341 42.4428290, -76.4432400 42.4428060, -76.4432450 42.4427860, -76.4432524 42.4427505, -76.4434690 42.4417160, -76.4434650 42.4416620, -76.4434450 42.4416130, -76.4434110 42.4415630, -76.4433640 42.4415190, -76.4433060 42.4414840, -76.4432400 42.4414620, -76.4431690 42.4414490, -76.4430950 42.4414460, -76.4425790 42.4414430, -76.4424000 42.4414410, -76.4423096 42.4414250, -76.4422510 42.4414030, -76.4421870 42.4413670, -76.4421350 42.4413230, -76.4420960 42.4412740, -76.4420720 42.4412160, -76.4420650 42.4411710, -76.4420011 42.4396985, -76.4419720 42.4390290, -76.4419475 42.4384142, -76.4419050 42.4373450, -76.4418630 42.4366370, -76.4418513 42.4364382, -76.4418022 42.4356021, -76.4417650 42.4349700, -76.4417191 42.4341269, -76.4416622 42.4330825, -76.4416540 42.4329310, -76.4416420 42.4325170, -76.4416400 42.4321610, -76.4416450 42.4321160, -76.4416670 42.4320120)",0.536,30.000,30.000,30.000,30.000,30.000,30.000,28.443,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,0.536,0.536,0.000,30.000,30.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,period-based
45,qvdf,35,36,1.000000,0.135900,0.084462,0.168925,-1,0,,network_wide,-1,0,-1,-1,6,,,0700_0800,3.176,-1.000,0.000,,,,,0.000,3.176,0.169,30.000,1.000,0.003,0.003,1000.000,0.000,0.000,0.000,1.000,1.000,3.176,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,0.268,0.009,0.268,0.009,0.000,0.000,"LINESTRING (-76.4907180 42.4554210, -76.4908200 42.4554240, -76.4909090 42.4554450, -76.4912430 42.4555810, -76.4914580 42.4556770, -76.4916550 42.4557780, -76.4918070 42.4558700, -76.4919820 42.4559850, -76.4921040 42.4560560)",3.176,30.000,30.000,30.000,30.000,30.000,30.000,28.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,3.176,3.176,0.000,30.000,30.000,0.000,0.003,0.003,0.000,0.000,0.000,0.000,period-based
47,qvdf,37,38,1.000000,0.257860,0.160261,0.080131,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,48.735,-1.000,0.000,,,,,0.000,48.735,0.080,120.000,1.000,0.021,0.021,2300.000,0.000,0.000,0.000,1.000,1.000,48.735,0.955,1.142,0.000,0.000,120.000,102.000,0.400,4.000,120.000,102.000,7.810,0.065,7.810,0.065,0.000,0.000,"LINESTRING (-76.4791240 42.4815210, -76.4804590 42.4814900, -76.4813070 42.4814830, -76.4818600 42.4814990, -76.4822597 42.4815147)",48.735,120.000,120.000,120.000,120.000,120.000,120.000,114.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,,48.735,48.735,0.000,120.000,120.000,0.000,0.021,0.021,0.000,0.000,0.000,0.000,period-based
48,qvdf,39,40,4.000000,0.073450,0.045649,0.022825,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,288.649,-1.000,0.000,,,,,0.000,288.649,0.023,120.000,1.000,0.031,0.031,2300.000,0.000,0.000,0.000,1.000,4.000,72.162,0.955,1.142,0.000,0.000,120.000,102.000,0.400,4.000,120.000,102.000,13.177,0.110,13.177,0.110,0.000,0.000,"LINESTRING (-76.4845030 42.4819690, -76.4844940 42.4818390, -76.4845000 42.4817710, -76.4845160 42.4817080, -76.4845410 42.4816440, -76.4845750 42.4815810, -76.4846170 42.4815220, -76.4846660 42.4814670, -76.4847940 42.4813750)",288.649,120.000,120.000,120.000,120.000,120.000,120.000,114.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,,288.649,288.649,0.000,120.000,120.000,0.000,0.031,0.031,0.000,0.000,0.000,0.000,period-based
49,qvdf,41,42,1.000000,0.958040,0.595426,1.190851,-1,0,,network_wide,-1,0,-1,-1,6,,,0700_0800,6.456,-1.000,0.000,,,,,0.000,6.456,1.191,30.000,1.000,0.006,0.006,1000.000,0.000,0.000,0.000,1.000,1.000,6.456,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,3.844,0.128,3.844,0.128,0.000,0.000,"LINESTRING (-76.5509460 42.4091610, -76.5510540 42.4091780, -76.5513490 42.4092770, -76.5515120 42.4093430, -76.5516160 42.4093770, -76.5516730 42.4093850, -76.5518150 42.4093750, -76.5519360 42.4093280, -76.5524390 42.4091050, -76.5530990 42.4087990, -76.5532080 42.4087570, -76.5532810 42.4087380, -76.5533420 42.4087320, -76.5533990 42.4087360, -76.5534530 42.4087490, -76.5535160 42.4087750, -76.5535610 42.4088010, -76.5536690 42.4088990, -76.5537860 42.4090190, -76.5539250 42.4091840, -76.5541200 42.4094470, -76.5542040 42.4095850, -76.5542340 42.4096790, -76.5542540 42.4098190, -76.5542731 42.4100731, -76.5542784 42.4101442, -76.5543030 42.4104710, -76.5543200 42.4105610, -76.5543440 42.4106230, -76.5543960 42.4107080, -76.5544410 42.4107570, -76.5545020 42.4108010, -76.5545740 42.4108410, -76.5546970 42.4108890, -76.5547810 42.4109060, -76.5549360 42.4109080, -76.5550170 42.4108980, -76.5550960 42.4108830, -76.5555790 42.4107280, -76.5557120 42.4106900, -76.5558270 42.4106620, -76.5559420 42.4106290, -76.5566179 42.4108287, -76.5570591 42.4109590, -76.5598529 42.4117842)",6.456,30.000,30.000,30.000,30.000,30.000,30.000,28.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,6.456,6.456,0.000,30.000,30.000,0.000,0.006,0.006,0.000,0.000,0.000,0.000,period-based
50,qvdf,42,41,1.000000,0.958040,0.595426,1.190851,-1,0,,network_wide,-1,0,-1,-1,6,,,0700_0800,10.000,-1.000,0.000,,,,,0.000,10.000,1.191,30.000,1.000,0.010,0.010,1000.000,0.000,0.000,0.000,1.000,1.000,10.000,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,5.954,0.198,5.954,0.198,0.000,0.000,"LINESTRING (-76.5598529 42.4117842, -76.5570591 42.4109590, -76.5566179 42.4108287, -76.5559420 42.4106290, -76.5558270 42.4106620, -76.5557120 42.4106900, -76.5555790 42.4107280, -76.5550960 42.4108830, -76.5550170 42.4108980, -76.5549360 42.4109080, -76.5547810 42.4109060, -76.5546970 42.4108890, -76.5545740 42.4108410, -76.5545020 42.4108010, -76.5544410 42.4107570, -76.5543960 42.4107080, -76.5543440 42.4106230, -76.5543200 42.4105610, -76.5543030 42.4104710, -76.5542784 42.4101442, -76.5542731 42.4100731, -76.5542540 42.4098190, -76.5542340 42.4096790, -76.5542040 42.4095850, -76.5541200 42.4094470, -76.5539250 42.4091840, -76.5537860 42.4090190, -76.5536690 42.4088990, -76.5535610 42.4088010, -76.5535160 42.4087750, -76.5534530 42.4087490, -76.5533990 42.4087360, -76.5533420 42.4087320, -76.5532810 42.4087380, -76.5532080 42.4087570, -76.5530990 42.4087990, -76.5524390 42.4091050, -76.5519360 42.4093280, -76.5518150 42.4093750, -76.5516730 42.4093850, -76.5516160 42.4093770, -76.5515120 42.4093430, -76.5513490 42.4092770, -76.5510540 42.4091780, -76.5509460 42.4091610)",10.000,30.000,30.000,30.000,30.000,30.000,30.000,28.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,10.000,10.000,0.000,30.000,30.000,0.000,0.010,0.010,0.000,0.000,0.000,0.000,period-based
51,qvdf,43,44,1.000000,0.250520,0.155699,0.311398,-1,0,,network_wide,-1,0,-1,-1,6,,,0700_0800,94.281,-1.000,0.000,,,,,0.000,94.281,0.311,29.999,1.000,0.094,0.094,1000.000,0.000,0.000,0.000,1.000,1.000,94.281,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,29.999,25.500,14.679,0.489,14.679,0.489,0.000,0.000,"LINESTRING (-76.5112890 42.4923940, -76.5114430 42.4924200, -76.5115000 42.4923920, -76.5115550 42.4923510, -76.5116090 42.4922960, -76.5116720 42.4921570, -76.5117009 42.4918191, -76.5117440 42.4913150, -76.5116973 42.4907424, -76.5116914 42.4903435)",94.281,30.000,30.000,30.000,30.000,30.000,29.999,28.499,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,94.281,94.281,0.000,29.999,29.999,0.000,0.094,0.094,0.000,0.000,0.000,0.000,period-based
