link_id,tmc_corridor_name,tmc_road_sequence,tmc,link_type_name,from_node_id,to_node_id,geometry,link_type_code,FT,AT,nlanes,link_distance_VDF,free_speed,capacity,k_critical,v_congestion_cutoff,AM_Volume,AM_speed_BPR,AM_speed_QVDF, AM_t0,AM_t3,AM_P, AM_D,AM_DC_ratio,AM_mu,AM_gamma,vh06,vh07,vh08,vh09,vh10,vh11,vh12,vh13,vh14,vh15,vh16,vh17,vh18,vh19,vrh06,vrh07,vrh08,vrh09,vrh10,vrh11,vrh12,vrh13,vrh14,vrh15,vrh16,vrh17,vrh18,vrh19,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,vr06:00,vr06:15,vr06:30,vr06:45,vr07:00,vr07:15,vr07:30,vr07:45,vr08:00,vr08:15,vr08:30,vr08:45,vr09:00,vr09:15,vr09:30,vr09:45,vr10:00,vr10:15,vr10:30,vr10:45,vr11:00,vr11:15,vr11:30,vr11:45,vr12:00,vr12:15,vr12:30,vr12:45,vr13:00,vr13:15,vr13:30,vr13:45,vr14:00,vr14:15,vr14:30,vr14:45,vr15:00,vr15:15,vr15:30,vr15:45,vr16:00,vr16:15,vr16:30,vr16:45,vr17:00,vr17:15,vr17:30,vr17:45,vr18:00,vr18:15,vr18:30,vr18:45,vr19:00,vr19:15,vr19:30,vr19:45,
0,network_wide,-1,,residential,0,1,"LINESTRING (-76.5185740 42.4487870, -76.5185362 42.4488168, -76.5185121 42.4488402, -76.5184630 42.4488880, -76.5184050 42.4489880, -76.5182550 42.4493360, -76.5182256 42.4493989, -76.5181830 42.4494900, -76.5181250 42.4495680, -76.5180900 42.4496000, -76.5180330 42.4496410, -76.5179756 42.4496777, -76.5178110 42.4497830)",,1,1,0,0.081007,30.000000,1000.000000,45.000000,25.500000,22.693046,29.999999,29.999996, 7.500000,7.500000,0.000000, 22.693046,0.022693,1000.000000,91523019877176227239691288576.000000,30.000,29.625,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,30.000,30.000,30.000,30.000,30.000,30.000,25.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
1,network_wide,-1,,residential,1,0,"LINESTRING (-76.5178110 42.4497830, -76.5179756 42.4496777, -76.5180330 42.4496410, -76.5180900 42.4496000, -76.5181250 42.4495680, -76.5181830 42.4494900, -76.5182256 42.4493989, -76.5182550 42.4493360, -76.5184050 42.4489880, -76.5184630 42.4488880, -76.5185121 42.4488402, -76.5185362 42.4488168, -76.5185740 42.4487870)",,1,1,0,0.081007,30.000000,1000.000000,45.000000,25.500000,25.634647,29.999998,29.999994, 7.500000,7.500000,0.000000, 25.634647,0.025635,1000.000000,13018995124435346258323832832.000000,30.000,29.625,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,30.000,30.000,30.000,30.000,30.000,30.000,25.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
45,network_wide,-1,,residential,35,36,"LINESTRING (-76.4907180 42.4554210, -76.4908200 42.4554240, -76.4909090 42.4554450, -76.4912430 42.4555810, -76.4914580 42.4556770, -76.4916550 42.4557780, -76.4918070 42.4558700, -76.4919820 42.4559850, -76.4921040 42.4560560)",,1,1,0,0.084462,30.000000,1000.000000,45.000000,25.500000,3.176109,30.000000,30.000000, 7.500000,7.500000,0.000000, 3.176109,0.003176,1000.000000,4221705095613460910009952692379652995416064.000000,30.000,29.625,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,30.000,30.000,30.000,30.000,30.000,30.000,25.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
47,network_wide,-1,,motorway,37,38,"LINESTRING (-76.4791240 42.4815210, -76.4804590 42.4814900, -76.4813070 42.4814830, -76.4818600 42.4814990, -76.4822597 42.4815147)",,1,1,0,0.160261,120.000000,2300.000000,45.000000,102.000000,48.734548,119.999996,119.999988, 7.500000,7.500000,0.000000, 48.734548,0.021189,2300.000000,157665632283539952872493940736.000000,120.000,118.500,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,120.000,120.000,120.000,120.000,120.000,120.000,102.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
48,network_wide,-1,,motorway,39,40,"LINESTRING (-76.4845030 42.4819690, -76.4844940 42.4818390, -76.4845000 42.4817710, -76.4845160 42.4817080, -76.4845410 42.4816440, -76.4845750 42.4815810, -76.4846170 42.4815220, -76.4846660 42.4814670, -76.4847940 42.4813750)",,1,1,0,0.045649,120.000000,2300.000000,45.000000,102.000000,288.648533,119.999983,119.999942, 7.500000,7.500000,0.000001, 72.162133,0.031375,2300.000000,295242155613477772646678528.000000,120.000,118.500,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,120.000,120.000,120.000,120.000,120.000,120.000,102.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,120.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
49,network_wide,-1,,residential,41,42,"LINESTRING (-76.5509460 42.4091610, -76.5510540 42.4091780, -76.5513490 42.4092770, -76.5515120 42.4093430, -76.5516160 42.4093770, -76.5516730 42.4093850, -76.5518150 42.4093750, -76.5519360 42.4093280, -76.5524390 42.4091050, -76.5530990 42.4087990, -76.5532080 42.4087570, -76.5532810 42.4087380, -76.5533420 42.4087320, -76.5533990 42.4087360, -76.5534530 42.4087490, -76.5535160 42.4087750, -76.5535610 42.4088010, -76.5536690 42.4088990, -76.5537860 42.4090190, -76.5539250 42.4091840, -76.5541200 42.4094470, -76.5542040 42.4095850, -76.5542340 42.4096790, -76.5542540 42.4098190, -76.5542731 42.4100731, -76.5542784 42.4101442, -76.5543030 42.4104710, -76.5543200 42.4105610, -76.5543440 42.4106230, -76.5543960 42.4107080, -76.5544410 42.4107570, -76.5545020 42.4108010, -76.5545740 42.4108410, -76.5546970 42.4108890, -76.5547810 42.4109060, -76.5549360 42.4109080, -76.5550170 42.4108980, -76.5550960 42.4108830, -76.5555790 42.4107280, -76.5557120 42.4106900, -76.5558270 42.4106620, -76.5559420 42.4106290, -76.5566179 42.4108287, -76.5570591 42.4109590, -76.5598529 42.4117842)",,1,1,0,0.595426,30.000000,1000.000000,45.000000,25.500000,6.455540,30.000000,30.000000, 7.500000,7.500000,0.000000, 6.455540,0.006456,1000.000000,49761574261546752788489998264770232320.000000,30.000,29.625,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,30.000,30.000,30.000,30.000,30.000,30.000,25.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
50,network_wide,-1,,residential,42,41,"LINESTRING (-76.5598529 42.4117842, -76.5570591 42.4109590, -76.5566179 42.4108287, -76.5559420 42.4106290, -76.5558270 42.4106620, -76.5557120 42.4106900, -76.5555790 42.4107280, -76.5550960 42.4108830, -76.5550170 42.4108980, -76.5549360 42.4109080, -76.5547810 42.4109060, -76.5546970 42.4108890, -76.5545740 42.4108410, -76.5545020 42.4108010, -76.5544410 42.4107570, -76.5543960 42.4107080, -76.5543440 42.4106230, -76.5543200 42.4105610, -76.5543030 42.4104710, -76.5542784 42.4101442, -76.5542731 42.4100731, -76.5542540 42.4098190, -76.5542340 42.4096790, -76.5542040 42.4095850, -76.5541200 42.4094470, -76.5539250 42.4091840, -76.5537860 42.4090190, -76.5536690 42.4088990, -76.5535610 42.4088010, -76.5535160 42.4087750, -76.5534530 42.4087490, -76.5533990 42.4087360, -76.5533420 42.4087320, -76.5532810 42.4087380, -76.5532080 42.4087570, -76.5530990 42.4087990, -76.5524390 42.4091050, -76.5519360 42.4093280, -76.5518150 42.4093750, -76.5516730 42.4093850, -76.5516160 42.4093770, -76.5515120 42.4093430, -76.5513490 42.4092770, -76.5510540 42.4091780, -76.5509460 42.4091610)",,1,1,0,0.595426,30.000000,1000.000000,45.000000,25.500000,10.000000,30.000000,30.000000, 7.500000,7.500000,0.000000, 10.000000,0.010000,1000.000000,45270468495338180170993619269844992.000000,30.000,29.625,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,30.000,30.000,30.000,30.000,30.000,30.000,25.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
51,network_wide,-1,,residential,43,44,"LINESTRING (-76.5112890 42.4923940, -76.5114430 42.4924200, -76.5115000 42.4923920, -76.5115550 42.4923510, -76.5116090 42.4922960, -76.5116720 42.4921570, -76.5117009 42.4918191, -76.5117440 42.4913150, -76.5116973 42.4907424, -76.5116914 42.4903435)",,1,1,0,0.155699,30.000000,1000.000000,45.000000,25.500000,94.280543,29.999644,29.998821, 7.499962,7.500038,0.000075, 94.280543,0.094281,1000.000000,11616137547207450624.000000,30.000,29.625,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,30.000,30.000,30.000,30.000,30.000,29.999,25.500,29.999,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
52,network_wide,-1,,residential,44,43,"LINESTRING (-76.5116914 42.4903435, -76.5116973 42.4907424, -76.5117440 42.4913150, -76.5117009 42.4918191, -76.5116720 42.4921570, -76.5116090 42.4922960, -76.5115550 42.4923510, -76.5115000 42.4923920, -76.5114430 42.4924200, -76.5112890 42.4923940)",,1,1,0,0.155699,30.000000,1000.000000,45.000000,25.500000,100.000000,29.999550,29.998508, 7.499952,7.500048,0.000095, 100.000000,0.100000,1000.000000,4527046683586526720.000000,30.000,29.624,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,30.000,30.000,30.000,30.000,30.000,29.999,25.500,29.999,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
59,network_wide,-1,,unclassified,51,52,"LINESTRING (-76.5178112 42.4546484, -76.5176560 42.4546838, -76.5172434 42.4548120, -76.5169010 42.4549150, -76.5167820 42.4549570, -76.5166700 42.4550040, -76.5165660 42.4550640, -76.5165220 42.4550960, -76.5164629 42.4551516, -76.5163520 42.4552560, -76.5161940 42.4554200, -76.5160986 42.4555035, -76.5160580 42.4555390)",,1,1,0,0.111964,30.000000,800.000000,45.000000,25.500000,207.516490,29.979640,29.932580, 7.497838,7.502162,0.004323, 207.516490,0.259396,800.000000,861991413746.313477,30.000,29.597,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,30.000,30.000,30.000,30.000,30.000,29.966,25.500,29.966,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
