link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_qdf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
0,0,0,0,1,-1,-1,6,residential,0,0.081007,30.000000,25.500000,0.162014,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5185740 42.4487870, -76.5185362 42.4488168, -76.5185121 42.4488402, -76.5184630 42.4488880, -76.5184050 42.4489880, -76.5182550 42.4493360, -76.5182256 42.4493989, -76.5181830 42.4494900, -76.5181250 42.4495680, -76.5180900 42.4496000, -76.5180330 42.4496410, -76.5179756 42.4496777, -76.5178110 42.4497830)",
1,1,0,1,0,-1,-1,6,residential,0,0.081007,30.000000,25.500000,0.162014,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5178110 42.4497830, -76.5179756 42.4496777, -76.5180330 42.4496410, -76.5180900 42.4496000, -76.5181250 42.4495680, -76.5181830 42.4494900, -76.5182256 42.4493989, -76.5182550 42.4493360, -76.5184050 42.4489880, -76.5184630 42.4488880, -76.5185121 42.4488402, -76.5185362 42.4488168, -76.5185740 42.4487870)",
2,2,0,2,3,-1,-1,15,unclassified,0,0.074195,30.000000,25.500000,0.148390,800.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5005138 42.4459622, -76.5012144 42.4468308, -76.5012600 42.4468844)",
3,3,0,3,2,-1,-1,15,unclassified,0,0.074195,30.000000,25.500000,0.148390,800.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5012600 42.4468844, -76.5012144 42.4468308, -76.5005138 42.4459622)",
4,4,0,3,4,-1,-1,15,unclassified,0,0.074077,30.000000,25.500000,0.148154,800.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5012600 42.4468844, -76.5012925 42.4469346, -76.5019573 42.4477572, -76.5019980 42.4478080)",
5,5,0,4,3,-1,-1,15,unclassified,0,0.074077,30.000000,25.500000,0.148154,800.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5019980 42.4478080, -76.5019573 42.4477572, -76.5012925 42.4469346, -76.5012600 42.4468844)",
6,6,0,5,6,-1,-1,6,residential,0,0.053642,30.000000,25.500000,0.107284,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4595374 42.4293598, -76.4594388 42.4294047, -76.4593818 42.4294483, -76.4593681 42.4294627, -76.4593244 42.4295086, -76.4592764 42.4295796, -76.4592462 42.4296401, -76.4591612 42.4298739, -76.4591452 42.4299575, -76.4591526 42.4300439)",
7,7,0,6,5,-1,-1,6,residential,0,0.053642,30.000000,25.500000,0.107284,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4591526 42.4300439, -76.4591452 42.4299575, -76.4591612 42.4298739, -76.4592462 42.4296401, -76.4592764 42.4295796, -76.4593244 42.4295086, -76.4593681 42.4294627, -76.4593818 42.4294483, -76.4594388 42.4294047, -76.4595374 42.4293598)",
8,8,0,7,8,-1,-1,6,residential,0,0.114817,30.000000,25.500000,0.229633,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5107630 42.4233737, -76.5105079 42.4234754, -76.5102596 42.4235941, -76.5099262 42.4237540, -76.5096029 42.4239212, -76.5092610 42.4241737, -76.5091236 42.4242553, -76.5090264 42.4242997, -76.5089305 42.4243034)",
9,9,0,8,7,-1,-1,6,residential,0,0.114817,30.000000,25.500000,0.229633,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.5089305 42.4243034, -76.5090264 42.4242997, -76.5091236 42.4242553, -76.5092610 42.4241737, -76.5096029 42.4239212, -76.5099262 42.4237540, -76.5102596 42.4235941, -76.5105079 42.4234754, -76.5107630 42.4233737)",
