od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,path_FF_travel_time_min,distance_km,distance_mile,
1,22,24,0,1,0,0,auto,AM,0.20,1,9.3466,14.1243,8.7783,
2,22,25,0,2,0,0,auto,AM,0.79,1,9.9610,15.1929,9.4424,
3,22,26,0,3,0,0,auto,AM,0.07,1,10.0824,16.1707,10.0501,
4,22,33,0,4,0,0,auto,AM,0.34,1,3.0449,2.9012,1.8031,
5,22,34,0,5,0,0,auto,AM,0.21,1,7.9723,11.8216,7.3472,
6,22,35,0,6,0,0,auto,AM,1.00,1,9.4660,14.6979,9.1348,
7,22,36,0,7,0,0,auto,AM,0.64,1,11.7872,17.2820,10.7408,
8,22,37,0,8,0,0,auto,AM,0.04,1,12.0154,19.1205,11.8835,
9,22,43,0,9,0,0,auto,AM,0.29,1,4.7285,5.5045,3.4211,
10,22,44,0,10,0,0,auto,AM,0.30,1,5.4333,7.0250,4.3660,
11,22,45,0,11,0,0,auto,AM,1.19,1,8.7599,11.0740,6.8825,
12,22,46,0,12,0,0,auto,AM,0.16,1,9.6181,13.6873,8.5067,
13,22,47,0,13,0,0,auto,AM,0.22,1,10.0137,14.9186,9.2720,
14,22,53,0,14,0,0,auto,AM,0.13,1,6.4647,8.2279,5.1137,
15,22,54,0,15,0,0,auto,AM,0.63,1,5.4312,7.2793,4.5241,
16,22,55,0,16,0,0,auto,AM,2.32,1,7.1283,9.9603,6.1904,
17,22,56,0,17,0,0,auto,AM,0.19,1,8.8004,12.3043,7.6471,
18,22,57,0,18,0,0,auto,AM,0.05,1,11.6487,15.7788,9.8066,
19,22,63,0,19,0,0,auto,AM,0.08,1,7.8125,10.3384,6.4254,
20,22,64,0,20,0,0,auto,AM,0.12,1,7.0727,9.5613,5.9424,
21,22,65,0,21,0,0,auto,AM,0.33,1,8.3604,11.1196,6.9109,
22,22,66,0,22,0,0,auto,AM,0.32,1,8.5979,12.4703,7.7503,
23,22,67,0,23,0,0,auto,AM,0.03,1,10.6211,15.2398,9.4716,
24,22,72,0,24,0,0,auto,AM,0.01,1,10.2732,13.4370,8.3511,
25,22,73,0,25,0,0,auto,AM,0.08,1,8.1780,11.6158,7.2193,
26,22,74,0,26,0,0,auto,AM,0.09,1,9.9471,13.5766,8.4379,
27,22,75,0,27,0,0,auto,AM,0.12,1,11.4139,14.5534,9.0450,
28,22,76,0,28,0,0,auto,AM,0.04,1,10.0635,14.2978,8.8862,
29,22,77,0,29,0,0,auto,AM,0.01,1,10.2855,15.7287,9.7754,
30,22,85,0,30,0,0,auto,AM,0.01,1,10.9455,14.6426,9.1004,
31,24,22,1,0,0,0,auto,AM,0.14,1,9.2708,13.9957,8.6984,
32,24,25,1,2,0,0,auto,AM,9.80,1,4.9056,8.5204,5.2954,
33,24,26,1,3,0,0,auto,AM,0.83,1,5.0270,9.4981,5.9031,
34,24,33,1,4,0,0,auto,AM,2.38,1,7.2275,11.3054,7.0264,
35,24,34,1,5,0,0,auto,AM,2.16,1,1.3743,2.3027,1.4312,
36,24,35,1,6,0,0,auto,AM,11.74,1,4.4106,8.0254,4.9878,
37,24,36,1,7,0,0,auto,AM,7.68,1,6.7317,10.6095,6.5938,
38,24,37,1,8,0,0,auto,AM,0.51,1,6.9600,12.4480,7.7365,
39,24,43,1,9,0,0,auto,AM,2.00,1,6.7644,10.2790,6.3884,
40,24,44,1,10,0,0,auto,AM,2.79,1,5.8559,8.9265,5.5479,
41,24,45,1,11,0,0,auto,AM,12.71,1,4.1461,5.4558,3.3908,
42,24,46,1,12,0,0,auto,AM,1.77,1,6.7232,8.8056,5.4727,
43,24,47,1,13,0,0,auto,AM,2.61,1,7.6112,12.9350,8.0391,
44,24,53,1,14,0,0,auto,AM,0.93,1,7.1620,10.9526,6.8071,
45,24,54,1,15,0,0,auto,AM,5.42,1,4.0908,6.9321,4.3083,
46,24,55,1,16,0,0,auto,AM,22.94,1,4.7259,7.9767,4.9576,
47,24,56,1,17,0,0,auto,AM,2.01,1,6.3979,10.3206,6.4143,
48,24,57,1,18,0,0,auto,AM,0.58,1,9.2463,13.7952,8.5737,
49,24,63,1,19,0,0,auto,AM,0.56,1,6.5449,10.1474,6.3066,
50,24,64,1,20,0,0,auto,AM,0.98,1,5.3645,8.5583,5.3190,
51,24,65,1,21,0,0,auto,AM,3.10,1,6.0791,9.2398,5.7425,
52,24,66,1,22,0,0,auto,AM,3.26,1,6.1954,10.4866,6.5175,
53,24,67,1,23,0,0,auto,AM,0.28,1,8.2187,13.2562,8.2388,
54,24,72,1,24,0,0,auto,AM,0.07,1,9.0056,13.2459,8.2324,
55,24,73,1,25,0,0,auto,AM,0.53,1,6.9104,11.4247,7.1005,
56,24,74,1,26,0,0,auto,AM,0.71,1,7.6657,11.6968,7.2696,
57,24,75,1,27,0,0,auto,AM,1.06,1,9.1325,12.6736,7.8767,
58,24,76,1,28,0,0,auto,AM,0.34,1,7.7821,12.4180,7.7179,
59,24,77,1,29,0,0,auto,AM,0.06,1,7.8830,13.7451,8.5426,
60,24,85,1,30,0,0,auto,AM,0.06,1,8.6641,12.7628,7.9321,
61,25,22,2,0,0,0,auto,AM,0.56,1,9.7847,14.9096,9.2664,
62,25,24,2,1,0,0,auto,AM,9.89,1,4.8914,8.6097,5.3510,
63,25,26,2,3,0,0,auto,AM,5.94,1,3.1838,4.3462,2.7012,
64,25,33,2,4,0,0,auto,AM,9.92,1,7.7414,12.2193,7.5943,
65,25,34,2,5,0,0,auto,AM,10.02,1,3.5171,6.3070,3.9198,
66,25,35,2,6,0,0,auto,AM,72.37,1,2.5674,2.8735,1.7859,
67,25,36,2,7,0,0,auto,AM,52.82,1,4.8885,5.4576,3.3919,
68,25,37,2,8,0,0,auto,AM,3.54,1,5.1168,7.2961,4.5345,
69,25,43,2,9,0,0,auto,AM,8.83,1,7.2783,11.1929,6.9564,
70,25,44,2,10,0,0,auto,AM,13.75,1,6.3699,9.8405,6.1159,
71,25,45,2,11,0,0,auto,AM,73.79,1,4.5068,4.9832,3.0971,
72,25,46,2,12,0,0,auto,AM,11.46,1,5.3445,6.1522,3.8236,
73,25,47,2,13,0,0,auto,AM,17.67,1,6.9775,8.7109,5.4139,
74,25,53,2,14,0,0,auto,AM,4.30,1,7.6759,11.8665,7.3751,
75,25,54,2,15,0,0,auto,AM,27.42,1,4.6047,7.8460,4.8763,
76,25,55,2,16,0,0,auto,AM,129.88,1,5.2398,8.8906,5.5256,
77,25,56,2,17,0,0,auto,AM,12.46,1,6.9118,11.2345,6.9823,
78,25,57,2,18,0,0,auto,AM,3.76,1,8.6126,9.5711,5.9485,
79,25,63,2,19,0,0,auto,AM,2.68,1,7.0588,11.0613,6.8746,
80,25,64,2,20,0,0,auto,AM,5.03,1,5.8785,9.4722,5.8870,
81,25,65,2,21,0,0,auto,AM,17.34,1,6.5930,10.1537,6.3105,
