first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,impacted_flag,info_receiving_flag,diverted_flag,agent_type_no,agent_type,PCE_unit,demand_period,volume,toll,departure_time,travel_time,distance_km,distance_mile,speed_kmph,speed_mph,waiting_time,max_link_waiting_time,max_wait_link,node_sequence,time_sequence
,0,22,25,0,0,0,0,0,1,auto,1,AM,1,0,476.1707,10.4085,15.1929,9.4424,87.5800,54.4314,0.4,0.1,,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1301;1302;1303;1633;1354;1353;723;1682;1058;1683;515;71;109;1283;1284;1508;1216;1217;1451;1452;145;146;1275;110;111;112;113;1518;59;58;55;56;1559;1316;1314;1315;39;1645;1648;1643;1171;1644;1654;576;1560;441;1652;373;925;141;142;,476.266663;477.066681;478.200012;478.458344;478.616669;478.758331;479.033325;479.287506;479.383331;479.500000;479.566681;480.016663;480.058319;480.258331;480.312500;480.341675;480.475006;480.950012;481.670837;481.704163;481.758331;481.795837;481.829163;481.845825;481.870819;481.920837;481.933319;482.020844;482.087494;482.200012;482.254181;482.279175;482.333344;482.375000;482.429169;482.454163;482.508331;482.758331;482.829163;482.833344;482.958344;482.987488;483.041656;483.133331;483.229156;483.283325;483.595825;483.733337;483.754181;483.870819;484.091675;484.508331;484.654175;484.883331;484.966675;485.012512;485.029175;485.079163;485.091675;485.137512;485.154175;485.204163;485.229156;485.308319;485.491669;485.504181;485.549988;485.608337;485.691681;485.729156;485.766663;485.983337;486.395844;486.579163;
,1,22,35,0,0,0,0,0,1,auto,1,AM,1,0,432.6998,10.2835,14.6979,9.1348,85.7560,53.2977,0.7,0.1,1650->1029,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1301;1302;1303;1633;1354;1353;723;1682;1058;1683;515;71;109;1283;1284;1508;1216;1217;1451;1452;145;146;1275;110;111;112;113;1518;59;58;55;56;1559;114;1607;418;1691;1233;1649;1650;1029;1693;,432.795837;433.600006;434.725006;434.983337;435.141663;435.283325;435.566681;435.833344;435.883331;436.000000;436.049988;436.533325;436.649994;436.850006;436.983337;437.016663;437.158325;437.649994;438.399994;438.433319;438.516663;438.554169;438.587494;438.604156;438.641663;438.695831;438.708344;438.799988;438.866669;438.979156;439.033325;439.058319;439.120819;439.174988;439.229156;439.254181;439.308319;439.558319;439.612488;439.616669;439.741669;439.774994;439.829163;439.920837;440.016663;440.049988;440.366669;440.441681;440.450012;440.575012;440.783325;441.183319;441.329163;441.558319;441.641663;441.687500;441.766663;441.883331;441.954163;442.049988;442.116669;442.200012;442.254181;442.649994;442.950012;
,2,22,36,0,0,0,0,0,1,auto,1,AM,1,0,459.4609,13.2558,17.2820,10.7408,78.2238,48.6164,1.2,0.2,519->1566,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1301;1302;1303;1633;1354;1353;723;1682;1058;1683;515;71;109;1283;1284;1508;1216;1217;1451;1452;145;146;1275;110;111;112;113;1518;59;58;55;56;1559;114;1607;418;1691;1233;1649;1650;1029;1651;288;1591;140;1590;1599;975;1141;989;821;357;356;501;,459.558319;460.366669;461.500000;461.758331;461.916656;462.058319;462.312500;462.583344;462.683319;462.799988;463.049988;463.549988;463.616669;463.866669;463.920837;463.950012;464.166656;464.666656;465.416656;465.450012;465.533325;465.570831;465.604156;465.620819;465.645844;465.695831;465.708344;465.783325;465.850006;465.962494;466.016663;466.041656;466.095825;466.137512;466.191681;466.216675;466.270844;466.520844;466.575012;466.583344;466.708344;466.737488;466.791656;466.883331;466.979156;467.012512;467.325012;467.379181;467.433319;467.549988;467.758331;468.162506;468.308319;468.549988;468.683319;468.733337;468.783325;468.899994;468.970825;469.183319;469.250000;469.333344;469.416656;469.700012;469.850006;469.966675;470.000000;470.008331;470.166656;470.187500;470.695831;470.833344;470.883331;471.016663;471.299988;472.383331;472.591675;
,3,22,45,1,0,0,0,0,1,auto,1,AM,1,0,471.5822,9.4970,11.0613,6.8747,69.8831,43.4327,0.6,0.1,330->329,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1301;1302;1303;1633;1354;1353;1247;270;189;779;1295;1296;1571;1132;400;1133;1308;447;448;1441;1442;1181;1033;1182;1183;271;809;851;1409;1410;910;897;1086;1175;1211;242;241;,471.679169;472.600006;473.725006;473.983337;474.141663;474.283325;474.537506;474.799988;474.833344;474.950012;474.987488;475.450012;475.500000;475.700012;475.766663;475.816681;476.000000;476.475006;477.200012;477.233337;477.316681;477.354156;477.387512;477.404175;477.429169;477.479156;477.491669;477.633331;477.700012;477.833344;477.870819;477.908325;478.066681;478.237488;478.316681;478.433319;478.583344;478.666656;478.737488;478.812500;478.891663;478.933319;478.937500;478.941681;479.033325;479.049988;479.408325;479.616669;479.666656;479.754181;479.850006;480.045837;480.108337;480.137512;480.320831;480.437500;480.458344;480.533325;481.049988;481.079163;
,4,22,54,0,0,0,0,0,1,auto,1,AM,1,0,481.9332,5.5335,7.2793,4.5241,78.9307,49.0558,0.0,0.0,,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;0;672;871;328;1274;1273;,482.029175;482.829163;483.954163;484.212494;484.370819;484.512512;484.766663;485.020844;485.045837;485.162506;485.200012;485.649994;485.691681;485.879181;485.933319;485.962494;486.095825;486.570831;486.733337;487.125000;487.195831;487.433319;487.437500;487.466675;
,5,22,55,0,0,0,0,0,1,auto,1,AM,1,0,479.7233,7.2517,9.9603,6.1904,82.4110,51.2188,0.0,0.0,,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1064;1063;1306;1307;1030;1031;1311;1041;1013;1575;983;1524;1525;208;209;1572;1573;562;1309;560;394;1592;967;909;569;150;570;571;451;,479.820831;480.620819;481.745819;482.004181;482.162506;482.304169;482.558319;482.812500;482.837494;482.954163;482.991669;483.441681;483.483337;483.670837;483.725006;483.754181;483.899994;484.375000;485.095825;485.129181;485.183319;485.220825;485.254181;485.333344;485.379181;485.387512;485.404175;485.454163;485.516663;485.533325;485.645844;485.787506;485.929169;486.008331;486.070831;486.133331;486.241669;486.325012;486.333344;486.475006;486.504181;486.524994;486.533325;486.579163;486.612488;486.645844;486.654175;486.670837;486.704163;486.745819;486.899994;486.975006;
,6,22,55,0,0,0,0,0,1,auto,1,AM,1,0,483.3777,7.2306,9.9603,6.1904,82.6513,51.3681,0.0,0.0,,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1064;1063;1306;1307;1030;1031;1311;1041;1013;1575;983;1524;1525;208;209;1572;1573;562;1309;560;394;1592;967;909;569;150;570;571;451;,483.475006;484.274994;485.399994;485.658325;485.816681;485.958344;486.212494;486.466675;486.491669;486.608337;486.645844;487.095825;487.137512;487.325012;487.379181;487.408325;487.541656;488.016663;488.737488;488.770844;488.825012;488.862488;488.895844;488.975006;489.020844;489.029175;489.045837;489.095825;489.158325;489.174988;489.287506;489.429169;489.570831;489.649994;489.712494;489.774994;489.883331;489.966675;489.975006;490.116669;490.145844;490.166656;490.170837;490.216675;490.250000;490.283325;490.291656;490.308319;490.337494;490.379181;490.533325;490.608337;
,7,24,25,0,0,0,0,0,1,auto,1,AM,1,0,425.0167,5.6333,8.5204,5.2954,90.7494,56.4011,0.6,0.3,44->43,44;43;1506;96;1334;98;639;112;113;1518;59;58;55;56;1559;1316;1314;1315;39;1645;1648;1643;1171;1644;1654;576;1560;441;1652;373;925;141;142;,425.116669;425.683319;426.337494;426.816681;427.283325;427.308319;427.583344;427.649994;427.766663;427.975006;428.375000;428.520844;428.750000;428.850006;428.895844;428.912506;428.962494;428.983337;429.033325;429.049988;429.100006;429.125000;429.233337;429.412506;429.420837;429.466675;429.566681;429.683319;429.712494;429.750000;429.966675;430.466675;430.649994;
,8,24,25,0,0,0,0,0,1,auto,1,AM,1,0,431.0333,5.4333,8.5204,5.2954,94.0898,58.4772,0.3,0.1,1643->1171,44;43;1506;96;1334;98;639;112;113;1518;59;58;55;56;1559;1316;1314;1315;39;1645;1648;1643;1171;1644;1654;576;1560;441;1652;373;925;141;142;,431.129181;431.450012;432.104156;432.512512;432.975006;433.049988;433.266663;433.333344;433.450012;433.658325;434.058319;434.204163;434.433319;434.516663;434.579163;434.600006;434.649994;434.716675;434.762512;434.783325;434.833344;434.858337;435.083344;435.262512;435.283325;435.333344;435.387512;435.466675;435.495819;435.566681;435.783325;436.200012;436.383331;
,9,24,25,0,0,0,0,0,1,auto,1,AM,1,0,437.0000,5.6500,8.5204,5.2954,90.4817,56.2347,0.6,0.1,98->639,44;43;1506;96;1334;98;639;112;113;1518;59;58;55;56;1559;1316;1314;1315;39;1645;1648;1643;1171;1644;1654;576;1560;441;1652;373;925;141;142;,437.100006;437.433319;438.087494;438.495819;439.033325;439.058319;439.416656;439.483337;439.600006;439.808319;440.208344;440.354156;440.583344;440.666656;440.716675;440.733337;440.783325;440.795837;440.850006;440.866669;440.924988;440.950012;441.083344;441.291656;441.299988;441.345825;441.533325;441.616669;441.645844;441.683319;441.950012;442.450012;442.633331;
