x_coord,y_coord,node_id,meso_link_id,lane_no,zone_id,is_boundary,activity_type,poi_id
-76.5184795,42.4488199,0,0,1,,0,,
-76.518427,42.4488709,1,0,1,,0,,
-76.5183925,42.4489297,2,0,1,,0,,
-76.5183598,42.4489891,3,0,1,,0,,
-76.5183335,42.4490502,4,0,1,,0,,
-76.5183072,42.4491113,5,0,1,,0,,
-76.5182808,42.4491724,6,0,1,,0,,
-76.5182545,42.4492335,7,0,1,,0,,
-76.5182281,42.4492947,8,0,1,,0,,
-76.5182008,42.4493555,9,0,1,,0,,
-76.5181725,42.4494162,10,0,1,,0,,
-76.5181441,42.4494768,11,0,1,,0,,
-76.5181024,42.449533,12,0,1,,0,,
-76.5180509,42.4495842,13,0,1,,0,,
-76.5179879,42.4496282,14,0,1,,0,,
-76.5179224,42.4496701,15,0,1,,0,,
-76.5178568,42.449712,16,0,1,,0,,
-76.5179124,42.4497598,17,1,1,,0,,
-76.5179784,42.4497176,18,1,1,,0,,
-76.5180444,42.4496754,19,1,1,,0,,
-76.5181078,42.4496311,20,1,1,,0,,
-76.5181635,42.4495816,21,1,1,,0,,
-76.5182055,42.4495251,22,1,1,,0,,
-76.5182394,42.4494658,23,1,1,,0,,
-76.5182679,42.4494048,24,1,1,,0,,
-76.5182963,42.4493438,25,1,1,,0,,
-76.5183228,42.4492823,26,1,1,,0,,
-76.5183494,42.4492208,27,1,1,,0,,
-76.5183759,42.4491593,28,1,1,,0,,
-76.5184024,42.4490978,29,1,1,,0,,
-76.5184289,42.4490363,30,1,1,,0,,
-76.5184585,42.4489756,31,1,1,,0,,
-76.5184929,42.4489163,32,1,1,,0,,
-76.5185419,42.4488633,33,1,1,,0,,
-76.5005272,42.4460402,34,2,1,,0,,
-76.5005702,42.4460935,35,2,1,,0,,
-76.5006132,42.4461469,36,2,1,,0,,
-76.5006562,42.4462002,37,2,1,,0,,
-76.5006992,42.4462535,38,2,1,,0,,
-76.5007422,42.4463069,39,2,1,,0,,
-76.5007852,42.4463602,40,2,1,,0,,
-76.5008282,42.4464135,41,2,1,,0,,
-76.5008712,42.4464668,42,2,1,,0,,
-76.5009143,42.4465202,43,2,1,,0,,
-76.5009573,42.4465735,44,2,1,,0,,
-76.5010003,42.4466268,45,2,1,,0,,
-76.5010433,42.4466801,46,2,1,,0,,
-76.5010863,42.4467335,47,2,1,,0,,
-76.5011293,42.4467868,48,2,1,,0,,
-76.5011723,42.4468401,49,2,1,,0,,
-76.5012444,42.4468065,50,3,1,,0,,
-76.5012015,42.4467533,51,3,1,,0,,
-76.5011585,42.4467,52,3,1,,0,,
-76.5011156,42.4466468,53,3,1,,0,,
-76.5010726,42.4465936,54,3,1,,0,,
-76.5010297,42.4465403,55,3,1,,0,,
-76.5009867,42.4464871,56,3,1,,0,,
-76.5009438,42.4464338,57,3,1,,0,,
-76.5009008,42.4463806,58,3,1,,0,,
-76.5008579,42.4463273,59,3,1,,0,,
-76.5008149,42.4462741,60,3,1,,0,,
-76.500772,42.4462208,61,3,1,,0,,
-76.500729,42.4461676,62,3,1,,0,,
-76.5006861,42.4461144,63,3,1,,0,,
-76.5006432,42.4460611,64,3,1,,0,,
-76.5006002,42.4460079,65,3,1,,0,,
-76.5012653,42.4469623,66,4,1,,0,,
-76.5013084,42.4470157,67,4,1,,0,,
-76.5013515,42.447069,68,4,1,,0,,
-76.5013946,42.4471223,69,4,1,,0,,
-76.5014377,42.4471756,70,4,1,,0,,
-76.5014808,42.4472289,71,4,1,,0,,
-76.5015239,42.4472823,72,4,1,,0,,
-76.501567,42.4473356,73,4,1,,0,,
-76.50161,42.4473889,74,4,1,,0,,
-76.5016531,42.4474422,75,4,1,,0,,
-76.5016962,42.4474955,76,4,1,,0,,
-76.5017393,42.4475489,77,4,1,,0,,
-76.5017824,42.4476022,78,4,1,,0,,
-76.5018255,42.4476555,79,4,1,,0,,
-76.5018686,42.4477088,80,4,1,,0,,
-76.5019117,42.4477621,81,4,1,,0,,
-76.5019849,42.44773,82,5,1,,0,,
-76.5019421,42.447677,83,5,1,,0,,
-76.5018992,42.447624,84,5,1,,0,,
-76.5018564,42.447571,85,5,1,,0,,
-76.5018136,42.447518,86,5,1,,0,,
-76.5017707,42.447465,87,5,1,,0,,
-76.5017279,42.447412,88,5,1,,0,,
-76.5016851,42.447359,89,5,1,,0,,
-76.5016422,42.447306,90,5,1,,0,,
-76.5015994,42.447253,91,5,1,,0,,
-76.5015566,42.4472,92,5,1,,0,,
-76.5015137,42.447147,93,5,1,,0,,
-76.5014709,42.447094,94,5,1,,0,,
-76.5014281,42.447041,95,5,1,,0,,
-76.5013852,42.446988,96,5,1,,0,,
-76.5013424,42.446935,97,5,1,,0,,
-76.4594323,42.4293707,98,6,1,,0,,
-76.4593716,42.4294108,99,6,1,,0,,
-76.4593205,42.429458,100,6,1,,0,,
-76.4592765,42.429509,101,6,1,,0,,
-76.4592398,42.4295633,102,6,1,,0,,
-76.4592109,42.42962,103,6,1,,0,,
-76.4591882,42.4296783,104,6,1,,0,,
-76.4591669,42.4297369,105,6,1,,0,,
-76.4591456,42.4297955,106,6,1,,0,,
-76.4591243,42.4298541,107,6,1,,0,,
-76.4591106,42.4299138,108,6,1,,0,,
-76.459104,42.429974,109,6,1,,-1,,
-76.4591889,42.42997,110,7,1,,1,,
-76.4591971,42.4299106,111,7,1,,0,,
-76.4592132,42.429852,112,7,1,,0,,
-76.4592342,42.4297942,113,7,1,,0,,
-76.4592553,42.4297363,114,7,1,,0,,
-76.4592763,42.4296785,115,7,1,,0,,
-76.4593009,42.4296215,116,7,1,,0,,
-76.4593328,42.4295666,117,7,1,,0,,
-76.4593713,42.429514,118,7,1,,0,,
-76.4594186,42.4294655,119,7,1,,0,,
-76.4594769,42.4294244,120,7,1,,0,,
-76.5106572,42.4233801,121,8,1,,1,,
-76.5105826,42.4234098,122,8,1,,0,,
-76.5105081,42.4234395,123,8,1,,0,,
-76.510436,42.4234723,124,8,1,,0,,
-76.5103648,42.4235063,125,8,1,,0,,
-76.5102937,42.4235403,126,8,1,,0,,
-76.5102225,42.4235743,127,8,1,,0,,
-76.5101515,42.4236084,128,8,1,,0,,
-76.5100804,42.4236425,129,8,1,,0,,
-76.5100093,42.4236766,130,8,1,,0,,
-76.5099383,42.4237107,131,8,1,,0,,
-76.509868,42.4237457,132,8,1,,0,,
-76.5097986,42.4237816,133,8,1,,0,,
-76.5097292,42.4238175,134,8,1,,0,,
-76.5096597,42.4238534,135,8,1,,0,,
-76.5095903,42.4238893,136,8,1,,0,,
-76.5095283,42.4239318,137,8,1,,0,,
-76.5094684,42.4239761,138,8,1,,0,,
-76.5094084,42.4240203,139,8,1,,0,,
-76.5093484,42.4240646,140,8,1,,0,,
-76.5092885,42.4241089,141,8,1,,0,,
-76.5092281,42.4241528,142,8,1,,0,,
-76.509162,42.4241921,143,8,1,,0,,
-76.5090957,42.424231,144,8,1,,0,,
-76.5090236,42.4242639,145,8,1,,0,,
-76.5090298,42.4243311,146,9,1,,0,,
-76.5091047,42.424301,147,9,1,,0,,
-76.5091756,42.4242648,148,9,1,,0,,
-76.5092429,42.4242248,149,9,1,,0,,
-76.5093083,42.4241833,150,9,1,,0,,
-76.5093694,42.4241381,151,9,1,,0,,
-76.5094305,42.424093,152,9,1,,0,,
-76.5094916,42.4240479,153,9,1,,0,,
-76.5095527,42.4240028,154,9,1,,0,,
-76.5096138,42.4239576,155,9,1,,0,,
-76.509682,42.4239188,156,9,1,,0,,
-76.5097527,42.4238822,157,9,1,,0,,
-76.5098234,42.4238456,158,9,1,,0,,
-76.5098942,42.423809,159,9,1,,0,,
-76.5099653,42.4237728,160,9,1,,0,,
-76.5100377,42.4237381,161,9,1,,0,,
-76.5101101,42.4237033,162,9,1,,0,,
-76.5101825,42.4236686,163,9,1,,0,,
-76.510255,42.4236339,164,9,1,,0,,
-76.5103274,42.4235992,165,9,1,,0,,
-76.5103999,42.4235645,166,9,1,,0,,
-76.5104724,42.4235299,167,9,1,,0,,
-76.5105456,42.4234962,168,9,1,,0,,
-76.5106216,42.4234659,169,9,1,,0,,
-76.5106976,42.4234356,170,9,1,,-1,,
-76.4951656,42.4313195,171,10,1,,0,,
-76.4951635,42.4312555,172,10,1,,0,,
-76.4951615,42.4311914,173,10,1,,0,,
-76.4951595,42.4311274,174,10,1,,0,,
-76.4951575,42.4310633,175,10,1,,0,,
-76.4951555,42.4309992,176,10,1,,0,,
-76.4951531,42.4309352,177,10,1,,-1,,
-76.4950681,42.4309369,178,11,1,,1,,
-76.4950704,42.4310009,179,11,1,,0,,
-76.4950724,42.4310649,180,11,1,,0,,
-76.4950744,42.431129,181,11,1,,0,,
-76.4950765,42.431193,182,11,1,,0,,
-76.4950785,42.431257,183,11,1,,0,,
-76.4950805,42.431321,184,11,1,,0,,
-76.5034493,42.4308068,185,12,1,,0,,
-76.5034531,42.43087,186,12,1,,0,,
-76.5034569,42.4309332,187,12,1,,0,,
-76.5034607,42.4309964,188,12,1,,0,,
-76.5034645,42.4310596,189,12,1,,0,,
-76.5034683,42.4311229,190,12,1,,0,,
-76.5034721,42.4311861,191,12,1,,0,,
-76.5034759,42.4312493,192,12,1,,0,,
-76.5034796,42.4313125,193,12,1,,0,,
-76.5034834,42.4313757,194,12,1,,0,,
-76.5034872,42.4314389,195,12,1,,0,,
-76.503491,42.4315022,196,12,1,,0,,
-76.5034948,42.4315654,197,12,1,,0,,
-76.5034986,42.4316286,198,12,1,,0,,
-76.5035024,42.4316918,199,12,1,,0,,
-76.5034068,42.4308082,200,12,2,,0,,
-76.5034106,42.4308714,201,12,2,,0,,
-76.5034144,42.4309346,202,12,2,,0,,
-76.5034182,42.4309978,203,12,2,,0,,
-76.503422,42.431061,204,12,2,,0,,
-76.5034258,42.4311243,205,12,2,,0,,
-76.5034295,42.4311875,206,12,2,,0,,
-76.5034333,42.4312507,207,12,2,,0,,
-76.5034371,42.4313139,208,12,2,,0,,
-76.5034409,42.4313771,209,12,2,,0,,
-76.5034447,42.4314403,210,12,2,,0,,
-76.5034485,42.4315036,211,12,2,,0,,
-76.5034523,42.4315668,212,12,2,,0,,
-76.5034561,42.43163,213,12,2,,0,,
-76.5034599,42.4316932,214,12,2,,0,,
-76.5035874,42.431689,215,13,1,,0,,
-76.5035837,42.4316275,216,13,1,,0,,
-76.50358,42.4315659,217,13,1,,0,,
-76.5035763,42.4315043,218,13,1,,0,,
-76.5035726,42.4314427,219,13,1,,0,,
-76.5035689,42.4313811,220,13,1,,0,,
-76.5035653,42.4313196,221,13,1,,0,,
-76.5035616,42.431258,222,13,1,,0,,
-76.5035579,42.4311964,223,13,1,,0,,
-76.5035542,42.4311348,224,13,1,,0,,
-76.5035505,42.4310732,225,13,1,,0,,
-76.5035468,42.4310116,226,13,1,,0,,
-76.5035431,42.4309501,227,13,1,,0,,
-76.5035394,42.4308885,228,13,1,,0,,
-76.5035357,42.4308269,229,13,1,,0,,
-76.5035321,42.4307653,230,13,1,,0,,
-76.5036299,42.4316876,231,13,2,,0,,
-76.5036262,42.4316258,232,13,2,,0,,
-76.5036225,42.431564,233,13,2,,0,,
-76.5036188,42.4315022,234,13,2,,0,,
-76.5036151,42.4314404,235,13,2,,0,,
-76.5036114,42.4313786,236,13,2,,0,,
-76.5036077,42.4313168,237,13,2,,0,,
-76.503604,42.431255,238,13,2,,0,,
-76.5036003,42.4311931,239,13,2,,0,,
-76.5035965,42.4311313,240,13,2,,0,,
-76.5035928,42.4310695,241,13,2,,0,,
-76.5035891,42.4310077,242,13,2,,0,,
-76.5035854,42.4309459,243,13,2,,0,,
-76.5035817,42.4308841,244,13,2,,0,,
-76.503578,42.4308223,245,13,2,,0,,
-76.5035741,42.4307605,246,13,2,,0,,
-76.5333997,42.4137255,247,14,1,,0,,
-76.5334456,42.4137773,248,14,1,,0,,
-76.5334914,42.4138291,249,14,1,,0,,
-76.533535,42.413882,250,14,1,,0,,
-76.5335786,42.4139348,251,14,1,,0,,
-76.5336221,42.4139877,252,14,1,,0,,
-76.5336678,42.4140396,253,14,1,,0,,
-76.5337152,42.4140906,254,14,1,,0,,
-76.5337625,42.4141416,255,14,1,,0,,
-76.5338099,42.4141926,256,14,1,,0,,
-76.5338573,42.4142437,257,14,1,,0,,
-76.5339047,42.4142947,258,14,1,,0,,
-76.5339521,42.4143457,259,14,1,,0,,
-76.5339995,42.4143967,260,14,1,,0,,
-76.5340469,42.4144478,261,14,1,,0,,
-76.5340943,42.4144988,262,14,1,,0,,
-76.5341417,42.4145498,263,14,1,,0,,
-76.534189,42.4146008,264,14,1,,0,,
-76.5342364,42.4146519,265,14,1,,0,,
-76.5342838,42.4147029,266,14,1,,0,,
-76.5343285,42.4147552,267,14,1,,0,,
-76.5343706,42.4148087,268,14,1,,0,,
-76.5344594,42.4148026,269,15,1,,0,,
-76.5344204,42.4147468,270,15,1,,0,,
-76.5343771,42.4146921,271,15,1,,0,,
-76.5343285,42.4146398,272,15,1,,0,,
-76.53428,42.4145876,273,15,1,,0,,
-76.5342314,42.4145353,274,15,1,,0,,
-76.5341829,42.414483,275,15,1,,0,,
-76.5341343,42.4144307,276,15,1,,0,,
-76.5340858,42.4143785,277,15,1,,0,,
-76.5340372,42.4143262,278,15,1,,0,,
-76.5339887,42.4142739,279,15,1,,0,,
-76.5339401,42.4142216,280,15,1,,0,,
-76.5338916,42.4141694,281,15,1,,0,,
-76.533843,42.4141171,282,15,1,,0,,
-76.5337945,42.4140648,283,15,1,,0,,
-76.5337459,42.4140125,284,15,1,,0,,
-76.5336987,42.4139596,285,15,1,,0,,
-76.5336541,42.4139055,286,15,1,,0,,
-76.5336094,42.4138513,287,15,1,,0,,
-76.5335648,42.4137972,288,15,1,,0,,
-76.5335179,42.4137441,289,15,1,,0,,
-76.5334709,42.413691,290,15,1,,0,,
-76.4786439,42.4741552,291,16,1,,0,,
-76.4785777,42.4741928,292,16,1,,0,,
-76.4785132,42.474232,293,16,1,,0,,
-76.4784492,42.4742717,294,16,1,,0,,
-76.4783852,42.4743113,295,16,1,,0,,
-76.4783212,42.474351,296,16,1,,0,,
-76.4782572,42.4743906,297,16,1,,0,,
-76.4781926,42.4744297,298,16,1,,0,,
-76.4781281,42.4744688,299,16,1,,0,,
-76.4780635,42.474508,300,16,1,,0,,
-76.4780006,42.4745486,301,16,1,,0,,
-76.4779387,42.47459,302,16,1,,0,,
-76.4778768,42.4746314,303,16,1,,0,,
-76.4778143,42.4746724,304,16,1,,0,,
-76.4777499,42.4747116,305,16,1,,0,,
-76.4776837,42.4747492,306,16,1,,0,,
-76.4776176,42.4747869,307,16,1,,0,,
-76.477549,42.474822,308,16,1,,0,,
-76.477479,42.4748556,309,16,1,,0,,
-76.4774079,42.4748878,310,16,1,,0,,
-76.4774442,42.4749448,311,17,1,,0,,
-76.4775165,42.4749128,312,17,1,,0,,
-76.4775873,42.4748788,313,17,1,,0,,
-76.4776573,42.4748438,314,17,1,,0,,
-76.4777242,42.4748058,315,17,1,,0,,
-76.4777911,42.4747677,316,17,1,,0,,
-76.477857,42.4747286,317,17,1,,0,,
-76.4779201,42.4746872,318,17,1,,0,,
-76.4779829,42.4746454,319,17,1,,0,,
-76.4780455,42.4746035,320,17,1,,0,,
-76.4781087,42.4745621,321,17,1,,0,,
-76.478174,42.4745225,322,17,1,,0,,
-76.4782393,42.4744829,323,17,1,,0,,
-76.4783046,42.4744433,324,17,1,,0,,
-76.4783694,42.4744033,325,17,1,,0,,
-76.4784342,42.4743632,326,17,1,,0,,
-76.4784989,42.4743231,327,17,1,,0,,
-76.4785637,42.474283,328,17,1,,0,,
-76.4786288,42.4742433,329,17,1,,0,,
-76.4786957,42.4742052,330,17,1,,0,,
-76.4772314,42.4749482,331,18,1,,0,,
-76.4771532,42.4749686,332,18,1,,0,,
-76.477075,42.4749889,333,18,1,,0,,
-76.4769948,42.4750039,334,18,1,,0,,
-76.4769134,42.4750158,335,18,1,,0,,
-76.476832,42.4750271,336,18,1,,0,,
-76.4767498,42.4750353,337,18,1,,0,,
-76.4766676,42.4750435,338,18,1,,0,,
-76.476585,42.4750463,339,18,1,,0,,
-76.4765021,42.4750461,340,18,1,,0,,
-76.4764191,42.4750458,341,18,1,,0,,
-76.4763362,42.4750456,342,18,1,,0,,
-76.4762533,42.4750467,343,18,1,,0,,
-76.4761705,42.4750465,344,18,1,,0,,
-76.4761681,42.4751095,345,19,1,,0,,
-76.476254,42.4751097,346,19,1,,0,,
-76.47634,42.4751086,347,19,1,,0,,
-76.4764259,42.4751089,348,19,1,,0,,
-76.4765119,42.4751091,349,19,1,,0,,
-76.4765978,42.4751094,350,19,1,,0,,
-76.4766835,42.4751056,351,19,1,,0,,
-76.4767686,42.475097,352,19,1,,0,,
-76.4768538,42.4750885,353,19,1,,0,,
-76.4769382,42.4750764,354,19,1,,0,,
-76.4770226,42.4750641,355,19,1,,0,,
-76.4771054,42.4750478,356,19,1,,0,,
-76.4771866,42.4750268,357,19,1,,0,,
-76.4772676,42.4750056,358,19,1,,0,,
-76.4759765,42.4750415,359,20,1,,0,,
-76.4758891,42.4750388,360,20,1,,0,,
-76.4758017,42.4750361,361,20,1,,0,,
-76.4757143,42.4750334,362,20,1,,0,,
-76.4756269,42.4750306,363,20,1,,0,,
-76.4755394,42.4750288,364,20,1,,0,,
-76.475452,42.475028,365,20,1,,0,,
-76.4753646,42.4750245,366,20,1,,0,,
-76.4752773,42.475021,367,20,1,,0,,
-76.4751899,42.4750175,368,20,1,,0,,
-76.4751025,42.475014,369,20,1,,0,,
-76.4750151,42.4750124,370,20,1,,0,,
-76.4749276,42.4750115,371,20,1,,0,,
-76.4748402,42.4750093,372,20,1,,0,,
-76.4747527,42.475007,373,20,1,,0,,
-76.4747498,42.47507,374,21,1,,0,,
-76.4748372,42.4750723,375,21,1,,0,,
-76.4749246,42.4750745,376,21,1,,0,,
-76.475012,42.4750754,377,21,1,,0,,
-76.4750994,42.475077,378,21,1,,0,,
-76.4751867,42.4750805,379,21,1,,0,,
-76.4752741,42.475084,380,21,1,,0,,
-76.4753614,42.4750875,381,21,1,,0,,
-76.4754487,42.475091,382,21,1,,0,,
-76.4755361,42.4750919,383,21,1,,0,,
-76.4756235,42.4750936,384,21,1,,0,,
-76.4757109,42.4750963,385,21,1,,0,,
-76.4757983,42.4750991,386,21,1,,0,,
-76.4758856,42.4751018,387,21,1,,0,,
-76.475973,42.4751045,388,21,1,,0,,
-76.4745559,42.4750059,389,22,1,,0,,
-76.4744714,42.4750102,390,22,1,,0,,
-76.4743872,42.4750182,391,22,1,,0,,
-76.4743042,42.4750304,392,22,1,,0,,
-76.474222,42.475046,393,22,1,,0,,
-76.4741411,42.4750647,394,22,1,,0,,
-76.4740609,42.4750852,395,22,1,,0,,
-76.4739835,42.4751108,396,22,1,,0,,
-76.4739073,42.4751383,397,22,1,,0,,
-76.4738343,42.4751703,398,22,1,,0,,
-76.4737621,42.4752032,399,22,1,,0,,
-76.4736898,42.4752361,400,22,1,,0,,
-76.4736188,42.4752704,401,22,1,,0,,
-76.4735484,42.4753055,402,22,1,,0,,
-76.473478,42.4753405,403,22,1,,0,,
-76.4734076,42.4753756,404,22,1,,0,,
-76.4733373,42.4754106,405,22,1,,0,,
-76.4732669,42.4754457,406,22,1,,0,,
-76.4731965,42.4754808,407,22,1,,0,,
-76.4731295,42.4755192,408,22,1,,0,,
-76.4730634,42.4755586,409,22,1,,0,,
-76.4729974,42.475598,410,22,1,,0,,
-76.4729313,42.4756374,411,22,1,,0,,
-76.4728694,42.4756804,412,22,1,,0,,
-76.4728079,42.4757236,413,22,1,,0,,
-76.4727464,42.4757668,414,22,1,,0,,
-76.4726849,42.4758101,415,22,1,,0,,
-76.4726234,42.4758534,416,22,1,,0,,
-76.4726844,42.4758974,417,23,1,,0,,
-76.4727465,42.4758538,418,23,1,,0,,
-76.4728085,42.4758101,419,23,1,,0,,
-76.4728705,42.4757665,420,23,1,,0,,
-76.4729325,42.4757229,421,23,1,,0,,
-76.4729955,42.4756801,422,23,1,,0,,
-76.4730621,42.4756404,423,23,1,,0,,
-76.4731287,42.4756006,424,23,1,,0,,
-76.4731953,42.4755609,425,23,1,,0,,
-76.4732639,42.4755232,426,23,1,,0,,
-76.4733349,42.4754878,427,23,1,,0,,
-76.4734059,42.4754525,428,23,1,,0,,
-76.4734768,42.4754171,429,23,1,,0,,
-76.4735478,42.4753818,430,23,1,,0,,
-76.4736188,42.4753464,431,23,1,,0,,
-76.4736898,42.4753111,432,23,1,,0,,
-76.473762,42.4752772,433,23,1,,0,,
-76.4738349,42.475244,434,23,1,,0,,
-76.4739078,42.4752109,435,23,1,,0,,
-76.4739831,42.4751811,436,23,1,,0,,
-76.47406,42.4751533,437,23,1,,0,,
-76.4741403,42.4751316,438,23,1,,0,,
-76.4742213,42.4751113,439,23,1,,0,,
-76.4743041,42.4750955,440,23,1,,0,,
-76.4743875,42.4750818,441,23,1,,0,,
-76.4744724,42.4750737,442,23,1,,0,,
-76.4745575,42.4750689,443,23,1,,0,,
-76.4724887,42.4759586,444,24,1,,0,,
-76.4724304,42.4760054,445,24,1,,0,,
-76.4723722,42.4760522,446,24,1,,0,,
-76.4723139,42.476099,447,24,1,,0,,
-76.472257,42.4761467,448,24,1,,0,,
-76.472202,42.4761957,449,24,1,,0,,
-76.4721525,42.4762476,450,24,1,,0,,
-76.4721051,42.4763008,451,24,1,,0,,
-76.4720663,42.4763575,452,24,1,,0,,
-76.472029,42.4764149,453,24,1,,0,,
-76.4719981,42.4764743,454,24,1,,0,,
-76.4719709,42.4765345,455,24,1,,0,,
-76.4719492,42.4765961,456,24,1,,0,,
-76.4719324,42.4766585,457,24,1,,0,,
-76.471919,42.4767214,458,24,1,,0,,
-76.4719137,42.4767848,459,24,1,,0,,
-76.4719106,42.4768484,460,24,1,,0,,
-76.4719172,42.4769119,461,24,1,,0,,
-76.4719237,42.4769754,462,24,1,,0,,
-76.4719302,42.4770388,463,24,1,,0,,
-76.4719368,42.4771023,464,24,1,,0,,
-76.4719433,42.4771658,465,24,1,,0,,
-76.4719499,42.4772293,466,24,1,,0,,
-76.4719564,42.4772927,467,24,1,,0,,
-76.471963,42.4773562,468,24,1,,0,,
-76.4719695,42.4774197,469,24,1,,0,,
-76.471976,42.4774831,470,24,1,,0,,
-76.4719825,42.4775466,471,24,1,,0,,
-76.471989,42.4776101,472,24,1,,0,,
-76.4719956,42.4776736,473,24,1,,0,,
-76.4720021,42.477737,474,24,1,,0,,
-76.4720086,42.4778005,475,24,1,,0,,
-76.4720152,42.477864,476,24,1,,0,,
-76.4720217,42.4779275,477,24,1,,0,,
-76.4720283,42.4779909,478,24,1,,0,,
-76.4720348,42.4780544,479,24,1,,0,,
-76.4720414,42.4781179,480,24,1,,0,,
-76.4720479,42.4781813,481,24,1,,0,,
-76.472056,42.4782447,482,24,1,,0,,
-76.4720672,42.4783078,483,24,1,,0,,
-76.4720783,42.4783709,484,24,1,,0,,
-76.4721627,42.4783628,485,25,1,,0,,
-76.4721519,42.4783011,486,25,1,,0,,
-76.472141,42.4782393,487,25,1,,0,,
-76.4721329,42.4781773,488,25,1,,0,,
-76.4721265,42.4781152,489,25,1,,0,,
-76.4721201,42.4780531,490,25,1,,0,,
-76.4721137,42.477991,491,25,1,,0,,
-76.4721073,42.4779289,492,25,1,,0,,
-76.4721009,42.4778668,493,25,1,,0,,
-76.4720945,42.4778047,494,25,1,,0,,
-76.4720881,42.4777426,495,25,1,,0,,
-76.4720817,42.4776805,496,25,1,,0,,
-76.4720753,42.4776184,497,25,1,,0,,
-76.4720689,42.4775563,498,25,1,,0,,
-76.4720626,42.4774942,499,25,1,,0,,
-76.4720562,42.4774321,500,25,1,,0,,
-76.4720498,42.47737,501,25,1,,0,,
-76.4720434,42.477308,502,25,1,,0,,
-76.472037,42.4772459,503,25,1,,0,,
-76.4720306,42.4771838,504,25,1,,0,,
-76.4720242,42.4771217,505,25,1,,0,,
-76.4720178,42.4770596,506,25,1,,0,,
-76.4720114,42.4769975,507,25,1,,0,,
-76.472005,42.4769354,508,25,1,,0,,
-76.4719986,42.4768733,509,25,1,,0,,
-76.4719975,42.4768111,510,25,1,,0,,
-76.4720009,42.4767489,511,25,1,,0,,
-76.4720125,42.4766872,512,25,1,,0,,
-76.4720267,42.4766259,513,25,1,,0,,
-76.4720479,42.4765656,514,25,1,,0,,
-76.4720728,42.4765062,515,25,1,,0,,
-76.472103,42.4764481,516,25,1,,0,,
-76.4721385,42.4763917,517,25,1,,0,,
-76.4721759,42.4763359,518,25,1,,0,,
-76.4722221,42.4762839,519,25,1,,0,,
-76.4722707,42.4762331,520,25,1,,0,,
-76.4723245,42.4761852,521,25,1,,0,,
-76.4723803,42.4761387,522,25,1,,0,,
-76.4724373,42.4760929,523,25,1,,0,,
-76.4724943,42.4760471,524,25,1,,0,,
-76.4725514,42.4760013,525,25,1,,0,,
-76.4416099,42.4320783,526,26,1,,0,,
-76.4415995,42.432141,527,26,1,,0,,
-76.4415977,42.4322041,528,26,1,,0,,
-76.441598,42.4322672,529,26,1,,0,,
-76.4415984,42.4323304,530,26,1,,0,,
-76.4415988,42.4323936,531,26,1,,0,,
-76.4415991,42.4324567,532,26,1,,0,,
-76.4415995,42.4325199,533,26,1,,0,,
-76.4416014,42.432583,534,26,1,,0,,
-76.4416032,42.4326462,535,26,1,,0,,
-76.441605,42.4327093,536,26,1,,0,,
-76.4416068,42.4327725,537,26,1,,0,,
-76.4416087,42.4328356,538,26,1,,0,,
-76.4416105,42.4328988,539,26,1,,0,,
-76.4416131,42.4329619,540,26,1,,0,,
-76.4416165,42.433025,541,26,1,,0,,
-76.4416199,42.4330882,542,26,1,,0,,
-76.4416234,42.4331513,543,26,1,,0,,
-76.4416268,42.4332144,544,26,1,,0,,
-76.4416302,42.4332775,545,26,1,,0,,
-76.4416337,42.4333406,546,26,1,,0,,
-76.4416371,42.4334037,547,26,1,,0,,
-76.4416406,42.4334668,548,26,1,,0,,
-76.441644,42.43353,549,26,1,,0,,
-76.4416474,42.4335931,550,26,1,,0,,
-76.4416509,42.4336562,551,26,1,,0,,
-76.4416543,42.4337193,552,26,1,,0,,
-76.4416577,42.4337824,553,26,1,,0,,
-76.4416612,42.4338455,554,26,1,,0,,
-76.4416646,42.4339086,555,26,1,,0,,
-76.4416681,42.4339718,556,26,1,,0,,
-76.4416715,42.4340349,557,26,1,,0,,
-76.4416749,42.434098,558,26,1,,0,,
-76.4416784,42.4341611,559,26,1,,0,,
-76.4416818,42.4342242,560,26,1,,0,,
-76.4416852,42.4342873,561,26,1,,0,,
-76.4416887,42.4343505,562,26,1,,0,,
-76.4416921,42.4344136,563,26,1,,0,,
-76.4416956,42.4344767,564,26,1,,0,,
-76.441699,42.4345398,565,26,1,,0,,
-76.4417024,42.4346029,566,26,1,,0,,
-76.4417059,42.434666,567,26,1,,0,,
-76.4417093,42.4347291,568,26,1,,0,,
-76.4417127,42.4347923,569,26,1,,0,,
-76.4417162,42.4348554,570,26,1,,0,,
-76.4417196,42.4349185,571,26,1,,0,,
-76.4417231,42.4349816,572,26,1,,0,,
-76.4417268,42.4350447,573,26,1,,0,,
-76.4417305,42.4351078,574,26,1,,0,,
-76.4417342,42.4351709,575,26,1,,0,,
-76.4417379,42.435234,576,26,1,,0,,
-76.4417417,42.4352971,577,26,1,,0,,
-76.4417454,42.4353602,578,26,1,,0,,
-76.4417491,42.4354233,579,26,1,,0,,
-76.4417528,42.4354864,580,26,1,,0,,
