zone_id,x_coord,y_coord,access_node_vector
7,,,9864
12,,,42918
15,,,115249
22,,,104420
23,,,129157
24,,,1604
25,,,57080
26,,,114544
32,,,130551
33,,,54265
34,,,95895
35,,,75526
36,,,66830
37,,,121866
40,,,109731
42,,,57476
43,,,130631
44,,,1851
45,,,154721
46,,,5432
47,,,5673
49,,,59037
53,,,66704
54,,,84736
55,,,19310
56,,,97093
57,,,15388
60,,,35070
63,,,34257
64,,,91365
65,,,126597
66,,,18125
67,,,72646
72,,,1434
73,,,157762
74,,,94467
75,,,27899
76,,,24892
77,,,142315
83,,,131978
84,,,94752
85,,,13594
86,,,132218
87,,,76139
89,,,71869
95,,,137792
