first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,impacted_flag,info_receiving_flag,diverted_flag,agent_type_no,agent_type,PCE_unit,demand_period,volume,toll,departure_time,travel_time,distance_km,distance_mile,speed_kmph,speed_mph,waiting_time,max_link_waiting_time,max_wait_link,node_sequence,time_sequence
,0,22,25,0,0,0,0,0,1,auto,1,AM,1,0,979.0493,10.4674,15.1929,9.4424,87.0869,54.1249,0.4,0.1,,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1301;1302;1303;1633;1354;1353;723;1682;1058;1683;515;71;109;1283;1284;1508;1216;1217;1451;1452;145;146;1275;110;111;112;113;1518;59;58;55;56;1559;1316;1314;1315;39;1645;1648;1643;1171;1644;1654;576;1560;441;1652;373;925;141;142;,979.145813;979.966675;981.091675;981.349976;981.533325;981.674988;981.929138;982.183350;982.216675;982.333313;982.400024;982.849976;982.900024;983.099976;983.154175;983.250000;983.400024;983.916687;984.683350;984.716675;984.783325;984.820862;984.854187;984.870850;984.895813;984.945862;984.958313;985.033325;985.099976;985.212524;985.266663;985.291687;985.345825;985.387512;985.441650;985.466675;985.520813;985.770813;985.825012;985.829163;985.954163;985.983337;986.037476;986.129150;986.224976;986.258362;986.570862;986.625000;986.650024;986.766663;986.974976;987.375000;987.520813;987.750000;987.833313;987.879150;987.895813;987.945862;987.983337;988.029175;988.045837;988.095825;988.120850;988.200012;988.379150;988.387512;988.450012;988.549988;988.616638;988.645813;988.683350;988.916687;989.329163;989.512512;
,1,22,35,0,0,0,0,0,1,auto,1,AM,1,0,457.2143,10.1690,14.6979,9.1348,86.7214,53.8977,0.6,0.1,1650->1029,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1301;1302;1303;1633;1354;1353;723;1682;1058;1683;515;71;109;1283;1284;1508;1216;1217;1451;1452;145;146;1275;110;111;112;113;1518;59;58;55;56;1559;114;1607;418;1691;1233;1649;1650;1029;1693;,457.312500;458.116669;459.250000;459.508331;459.683319;459.825012;460.079163;460.333344;460.366669;460.516663;460.554169;461.004181;461.116669;461.316681;461.383331;461.433319;461.583344;462.058319;462.783325;462.850006;462.904175;462.941681;462.975006;462.991669;463.016663;463.066681;463.079163;463.183319;463.250000;463.362488;463.416656;463.441681;463.495819;463.537506;463.591675;463.616669;463.670837;463.920837;463.975006;463.979156;464.104156;464.133331;464.187500;464.279175;464.375000;464.408325;464.720825;464.774994;464.783325;464.899994;465.108337;465.508331;465.654175;465.883331;465.966675;466.012512;466.066681;466.216675;466.287506;466.483337;466.537506;466.600006;466.670837;467.033325;467.333344;
,2,22,36,0,0,0,0,0,1,auto,1,AM,1,0,778.1637,12.4196,17.2820,10.7408,83.4905,51.8897,0.5,0.1,,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1301;1302;1303;1633;1354;1353;723;1682;1058;1683;515;71;109;1283;1284;1508;1216;1217;1451;1452;145;146;1275;110;111;112;113;1518;59;58;55;56;1559;114;1607;418;1691;1233;1649;1650;1029;1651;288;1591;140;1590;1599;975;1141;989;821;357;356;501;,778.262512;779.062500;780.187500;780.445862;780.604187;780.750000;781.004150;781.283325;781.308350;781.433350;781.500000;781.950012;782.000000;782.187500;782.241638;782.270813;782.404175;782.879150;783.650024;783.700012;783.754150;783.791687;783.825012;783.841675;783.866638;783.916687;783.929138;784.004150;784.070862;784.183350;784.237488;784.262512;784.316650;784.358337;784.412476;784.437500;784.491638;784.741638;784.795837;784.799988;784.924988;784.954163;785.008362;785.099976;785.195862;785.229187;785.541687;785.595825;785.604187;785.720825;785.929138;786.329163;786.474976;786.704163;786.799988;786.845825;786.891663;787.066650;787.200012;787.316650;787.383362;787.424988;787.479187;787.783325;787.933350;788.025024;788.058350;788.099976;788.233337;788.254150;788.762512;788.883362;788.966675;789.133362;789.416687;790.349976;790.558350;
,3,22,45,0,0,0,0,0,1,auto,1,AM,1,0,923.9868,9.7216,11.0740,6.8825,68.3470,42.4779,0.9,0.1,,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1301;1302;1303;1633;1354;1353;1247;270;189;779;1295;1296;700;1132;400;1133;1308;447;448;1441;1442;1181;1033;1182;1183;271;809;851;1409;1410;910;897;1086;1175;1018;922;1019;243;240;241;,924.083313;924.950012;926.075012;926.383362;926.549988;926.733337;926.987488;927.241638;927.316650;927.450012;927.487488;927.937500;927.979187;928.166687;928.220825;928.333313;928.466675;928.941650;929.733337;929.766663;929.833313;929.870850;929.904175;929.920837;929.945862;929.995850;930.008362;930.083313;930.150024;930.283325;930.349976;930.387512;930.533325;930.704163;930.833313;931.033325;931.200012;931.299988;931.383362;931.458313;931.537476;931.575012;931.579163;931.583313;931.591675;931.599976;931.958313;932.145813;932.183350;932.283325;932.366638;932.562500;932.666687;932.700012;932.870850;933.000000;933.049988;933.179138;933.400024;933.500000;933.599976;933.662476;933.708313;
,4,22,54,0,0,0,0,0,1,auto,1,AM,1,0,1048.0161,5.7838,7.2793,4.5241,75.5142,46.9324,0.3,0.1,,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;0;672;871;328;1274;1273;,1048.112549;1048.912476;1050.083374;1050.341675;1050.500000;1050.641724;1050.895874;1051.150024;1051.183350;1051.300049;1051.366699;1051.816650;1051.858276;1052.050049;1052.150024;1052.183350;1052.333374;1052.808350;1053.000000;1053.391724;1053.462524;1053.766724;1053.770874;1053.800049;
,5,22,55,0,0,0,0,0,1,auto,1,AM,1,0,1021.3138,7.5278,9.9603,6.1904,79.3880,49.3400,0.3,0.1,,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1064;1063;1306;1307;1030;1031;1311;1041;1013;1575;983;1524;1525;208;209;1572;1573;562;1309;560;394;1592;967;909;569;150;570;571;451;,1021.412476;1022.212524;1023.366638;1023.625000;1023.799988;1023.950012;1024.216675;1024.470825;1024.500000;1024.616699;1024.654175;1025.116699;1025.158325;1025.349976;1025.449951;1025.483276;1025.616699;1026.116699;1026.837524;1026.883301;1027.000000;1027.037476;1027.070801;1027.150024;1027.195801;1027.204224;1027.220825;1027.279175;1027.341675;1027.358276;1027.470825;1027.612549;1027.770874;1027.849976;1027.912476;1027.974976;1028.087524;1028.170776;1028.179199;1028.320801;1028.349976;1028.370850;1028.375000;1028.449951;1028.483276;1028.516724;1028.525024;1028.541626;1028.570801;1028.612549;1028.766724;1028.841675;
,6,22,55,0,0,0,0,0,1,auto,1,AM,1,0,1065.5337,7.5247,9.9603,6.1904,79.4209,49.3604,0.3,0.1,,330;329;816;815;814;813;812;1568;1567;519;1566;1565;32;669;411;1057;365;1;273;1289;1288;1300;1359;1064;1063;1306;1307;1030;1031;1311;1041;1013;1575;983;1524;1525;208;209;1572;1573;562;1309;560;394;1592;967;909;569;150;570;571;451;,1065.633301;1066.449951;1067.616699;1067.875000;1068.033325;1068.175049;1068.483276;1068.750000;1068.783325;1068.900024;1068.937500;1069.400024;1069.441650;1069.633301;1069.699951;1069.766724;1069.916626;1070.416626;1071.137451;1071.183350;1071.266724;1071.304199;1071.337524;1071.416626;1071.462524;1071.470825;1071.487549;1071.537476;1071.599976;1071.616699;1071.729126;1071.870850;1072.012451;1072.091675;1072.154175;1072.216675;1072.324951;1072.408325;1072.416626;1072.558350;1072.587524;1072.608276;1072.612549;1072.658325;1072.699951;1072.733276;1072.741699;1072.758301;1072.787476;1072.829224;1072.983276;1073.058350;
,7,24,25,0,0,0,0,0,1,auto,1,AM,1,0,365.0167,5.6333,8.5204,5.2954,90.7494,56.4011,0.6,0.3,44->43,44;43;1506;96;1334;98;639;112;113;1518;59;58;55;56;1559;1316;1314;1315;39;1645;1648;1643;1171;1644;1654;576;1560;441;1652;373;925;141;142;,365.116669;365.683319;366.337494;366.816681;367.283325;367.308319;367.583344;367.649994;367.766663;367.975006;368.375000;368.520844;368.750000;368.850006;368.895844;368.912506;368.962494;368.983337;369.033325;369.049988;369.100006;369.125000;369.233337;369.412506;369.420837;369.466675;369.566681;369.683319;369.712494;369.750000;369.966675;370.466675;370.649994;
,8,24,25,0,0,0,0,0,1,auto,1,AM,1,0,437.0333,5.3167,8.5204,5.2954,96.1543,59.7603,0.3,0.1,,44;43;1506;96;1334;98;639;112;113;1518;59;58;55;56;1559;1316;1314;1315;39;1645;1648;1643;1171;1644;1654;576;1560;441;1652;373;925;141;142;,437.129181;437.441681;438.095825;438.504181;438.983337;439.016663;439.266663;439.333344;439.466675;439.674988;440.075012;440.220825;440.450012;440.533325;440.579163;440.595825;440.645844;440.683319;440.729156;440.745819;440.795837;440.820831;440.950012;441.183319;441.191681;441.237488;441.291656;441.358337;441.399994;441.437500;441.654175;442.149994;442.333344;
,9,24,25,0,0,0,0,0,1,auto,1,AM,1,0,508.9999,5.4000,8.5204,5.2954,94.6700,58.8378,0.3,0.1,44->43,44;43;1506;96;1334;98;639;112;113;1518;59;58;55;56;1559;1316;1314;1315;39;1645;1648;1643;1171;1644;1654;576;1560;441;1652;373;925;141;142;,509.095825;509.533325;510.187500;510.595825;511.058319;511.116669;511.350006;511.416656;511.533325;511.741669;512.141663;512.287476;512.516663;512.599976;512.645813;512.683350;512.750000;512.762512;512.808350;512.825012;512.875000;512.900024;512.979187;513.216675;513.224976;513.299988;513.383362;513.466675;513.495850;513.533325;513.750000;514.162476;514.345825;
