link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,VDF_alpha1,VDF_beta1
1,Vinegar Hill,20181025,1,2,1,"LINESTRING (-76.518574 42.448787, -76.5185362 42.4488168, -76.5185121 42.4488402, -76.518463 42.448888, -76.518405 42.448988, -76.518255 42.449336, -76.5182256 42.4493989, -76.518183 42.44949, -76.518125 42.449568, -76.51809 42.4496, -76.518033 42.449641, -76.5179756 42.4496777, -76.517811 42.449783)",1,130.39,residential,6,30,1,600,auto,,0.15,4.0
2,Vinegar Hill,20181025,2,1,1,"LINESTRING (-76.517811 42.449783, -76.5179756 42.4496777, -76.518033 42.449641, -76.51809 42.4496, -76.518125 42.449568, -76.518183 42.44949, -76.5182256 42.4493989, -76.518255 42.449336, -76.518405 42.448988, -76.518463 42.448888, -76.5185121 42.4488402, -76.5185362 42.4488168, -76.518574 42.448787)",1,130.39,residential,6,30,1,600,auto,,0.15,4.0
3,Lake Avenue,20181084,3,4,1,"LINESTRING (-76.5005138 42.4459622, -76.5012144 42.4468308, -76.50126 42.4468844)",1,119.43,unclassified,20,30,1,600,auto,,0.15,4.0
4,Lake Avenue,20181084,4,5,1,"LINESTRING (-76.50126 42.4468844, -76.5012925 42.4469346, -76.5019573 42.4477572, -76.501998 42.447808)",1,119.25,unclassified,20,30,1,600,auto,,0.15,4.0
5,Lake Avenue,20181084,4,3,1,"LINESTRING (-76.50126 42.4468844, -76.5012144 42.4468308, -76.5005138 42.4459622)",1,119.43,unclassified,20,30,1,600,auto,,0.15,4.0
6,Lake Avenue,20181084,5,4,1,"LINESTRING (-76.501998 42.447808, -76.5019573 42.4477572, -76.5012925 42.4469346, -76.50126 42.4468844)",1,119.25,unclassified,20,30,1,600,auto,,0.15,4.0
7,Sugarbush Lane,20181087,6,7,1,"LINESTRING (-76.4595374 42.4293598, -76.4594388 42.4294047, -76.4593818 42.4294483, -76.4593681 42.4294627, -76.4593244 42.4295086, -76.4592764 42.4295796, -76.4592462 42.4296401, -76.4591612 42.4298739, -76.4591452 42.4299575, -76.4591526 42.4300439)",1,86.36,residential,6,30,1,600,auto,,0.15,4.0
8,Sugarbush Lane,20181087,7,6,1,"LINESTRING (-76.4591526 42.4300439, -76.4591452 42.4299575, -76.4591612 42.4298739, -76.4592462 42.4296401, -76.4592764 42.4295796, -76.4593244 42.4295086, -76.4593681 42.4294627, -76.4593818 42.4294483, -76.4594388 42.4294047, -76.4595374 42.4293598)",1,86.36,residential,6,30,1,600,auto,,0.15,4.0
9,Pittman Lane,20181089,8,9,1,"LINESTRING (-76.510763 42.4233737, -76.5105079 42.4234754, -76.5102596 42.4235941, -76.5099262 42.423754, -76.5096029 42.4239212, -76.509261 42.4241737, -76.5091236 42.4242553, -76.5090264 42.4242997, -76.5089305 42.4243034)",1,184.55,residential,6,30,1,600,auto,,0.15,4.0
10,Pittman Lane,20181089,9,8,1,"LINESTRING (-76.5089305 42.4243034, -76.5090264 42.4242997, -76.5091236 42.4242553, -76.509261 42.4241737, -76.5096029 42.4239212, -76.5099262 42.423754, -76.5102596 42.4235941, -76.5105079 42.4234754, -76.510763 42.4233737)",1,184.55,residential,6,30,1,600,auto,,0.15,4.0
11,Grandview Place,20181090,10,11,1,"LINESTRING (-76.4951253 42.4313923, -76.495113 42.431002, -76.495108 42.430864)",1,58.76,residential,6,30,1,600,auto,,0.15,4.0
12,Grandview Place,20181090,11,10,1,"LINESTRING (-76.495108 42.430864, -76.495113 42.431002, -76.4951253 42.4313923)",1,58.76,residential,6,30,1,600,auto,,0.15,4.0
13,South Plain Street,20181137,12,13,1,"LINESTRING (-76.5034531 42.4306824, -76.5034798 42.4307214, -76.5034898 42.4307691, -76.5034911 42.4307937, -76.5035514 42.4317984)",1,124.79,tertiary,5,48,1,900,auto,,0.15,4.0
14,South Plain Street,20181137,13,12,1,"LINESTRING (-76.5035514 42.4317984, -76.5034911 42.4307937, -76.5034898 42.4307691, -76.5034798 42.4307214, -76.5034531 42.4306824)",1,124.79,tertiary,5,48,1,900,auto,,0.15,4.0
15,Brewery Lane,20181138,14,15,1,"LINESTRING (-76.533382 42.413648, -76.533528 42.413813, -76.533678 42.413995, -76.534343 42.414711, -76.534417 42.414805, -76.534425 42.414877)",1,162.26,residential,6,30,1,600,auto,,0.15,4.0
16,Brewery Lane,20181138,15,14,1,"LINESTRING (-76.534425 42.414877, -76.534417 42.414805, -76.534343 42.414711, -76.533678 42.413995, -76.533528 42.413813, -76.533382 42.413648)",1,162.26,residential,6,30,1,600,auto,,0.15,4.0
17,Burleigh Drive,20181146,16,17,1,"LINESTRING (-76.478747 42.4741363, -76.47859 42.4742256, -76.478289 42.474412, -76.4782298 42.4744479, -76.478068 42.474546, -76.477905 42.474655, -76.477812 42.474716, -76.477708 42.4747752, -76.477617 42.474827, -76.477444 42.47491, -76.477338 42.474947)",1,146.96,residential,6,30,1,600,auto,,0.15,4.0
18,Burleigh Drive,20181146,17,18,1,"LINESTRING (-76.477338 42.474947, -76.477257 42.474975, -76.4771449 42.4750042, -76.477057 42.475027, -76.476851 42.475057, -76.476641 42.475078, -76.4766119 42.4750779, -76.4763652 42.4750772, -76.476311 42.475077, -76.476214 42.475079, -76.4761774 42.4750782, -76.476072 42.475076)",1,106.00,residential,6,30,1,600,auto,,0.15,4.0
19,Burleigh Drive,20181146,18,19,1,"LINESTRING (-76.476072 42.475076, -76.4757684 42.4750666, -76.4757522 42.4750661, -76.475622 42.475062, -76.475562 42.47506, -76.475488 42.475061, -76.4753888 42.475057, -76.475063 42.475044, -76.4749569 42.4750438, -76.4748659 42.4750415, -76.4747357 42.4750381, -76.474654 42.475036)",1,116.40,residential,6,30,1,600,auto,,0.15,4.0
20,Burleigh Drive,20181146,20,21,1,"LINESTRING (-76.472586 42.475927, -76.4724271 42.4760546, -76.4724128 42.4760661, -76.472312 42.476147, -76.47222 42.476229, -76.472139 42.47632, -76.472072 42.47642, -76.4720558 42.4764511, -76.47202 42.47652, -76.471982 42.476628, -76.471959 42.476736, -76.4719535 42.476836, -76.471953 42.476845, -76.471965 42.4769619, -76.4720005 42.4773059, -76.4720212 42.4775072, -76.4720285 42.4775787, -76.4720555 42.4778409, -76.4720692 42.4779735, -76.4720946 42.4782198, -76.4721229 42.4783805, -76.472133 42.4784383)",1,295.97,residential,6,30,1,600,auto,,0.15,4.0
21,Burleigh Drive,20181146,19,20,1,"LINESTRING (-76.474654 42.475036, -76.474513 42.475038, -76.474356 42.475053, -76.4743267 42.4750586, -76.4742435 42.4750745, -76.474204 42.475082, -76.474055 42.47512, -76.473914 42.475171, -76.4738987 42.475178, -76.4738734 42.4751895, -76.4737752 42.4752342, -76.47369 42.475273, -76.4735263 42.4753545, -76.4734612 42.4753869, -76.4732309 42.4755016, -76.473206 42.475514, -76.4731694 42.4755359, -76.472953 42.475665, -76.4729005 42.475702, -76.4728421 42.475743, -76.472653 42.475876, -76.472586 42.475927)",1,201.31,residential,6,30,1,600,auto,,0.15,4.0
22,Burleigh Drive,20181146,21,20,1,"LINESTRING (-76.472133 42.4784383, -76.4721229 42.4783805, -76.4720946 42.4782198, -76.4720692 42.4779735, -76.4720555 42.4778409, -76.4720285 42.4775787, -76.4720212 42.4775072, -76.4720005 42.4773059, -76.471965 42.4769619, -76.471953 42.476845, -76.4719535 42.476836, -76.471959 42.476736, -76.471982 42.476628, -76.47202 42.47652, -76.4720558 42.4764511, -76.472072 42.47642, -76.472139 42.47632, -76.47222 42.476229, -76.472312 42.476147, -76.4724128 42.4760661, -76.4724271 42.4760546, -76.472586 42.475927)",1,295.97,residential,6,30,1,600,auto,,0.15,4.0
23,Burleigh Drive,20181146,20,19,1,"LINESTRING (-76.472586 42.475927, -76.472653 42.475876, -76.4728421 42.475743, -76.4729005 42.475702, -76.472953 42.475665, -76.4731694 42.4755359, -76.473206 42.475514, -76.4732309 42.4755016, -76.4734612 42.4753869, -76.4735263 42.4753545, -76.47369 42.475273, -76.4737752 42.4752342, -76.4738734 42.4751895, -76.4738987 42.475178, -76.473914 42.475171, -76.474055 42.47512, -76.474204 42.475082, -76.4742435 42.4750745, -76.4743267 42.4750586, -76.474356 42.475053, -76.474513 42.475038, -76.474654 42.475036)",1,201.31,residential,6,30,1,600,auto,,0.15,4.0
24,Burleigh Drive,20181146,19,18,1,"LINESTRING (-76.474654 42.475036, -76.4747357 42.4750381, -76.4748659 42.4750415, -76.4749569 42.4750438, -76.475063 42.475044, -76.4753888 42.475057, -76.475488 42.475061, -76.475562 42.47506, -76.475622 42.475062, -76.4757522 42.4750661, -76.4757684 42.4750666, -76.476072 42.475076)",1,116.40,residential,6,30,1,600,auto,,0.15,4.0
25,Burleigh Drive,20181146,18,17,1,"LINESTRING (-76.476072 42.475076, -76.4761774 42.4750782, -76.476214 42.475079, -76.476311 42.475077, -76.4763652 42.4750772, -76.4766119 42.4750779, -76.476641 42.475078, -76.476851 42.475057, -76.477057 42.475027, -76.4771449 42.4750042, -76.477257 42.474975, -76.477338 42.474947)",1,106.00,residential,6,30,1,600,auto,,0.15,4.0
26,Burleigh Drive,20181146,17,16,1,"LINESTRING (-76.477338 42.474947, -76.477444 42.47491, -76.477617 42.474827, -76.477708 42.4747752, -76.477812 42.474716, -76.477905 42.474655, -76.478068 42.474546, -76.4782298 42.4744479, -76.478289 42.474412, -76.47859 42.4742256, -76.478747 42.4741363)",1,146.96,residential,6,30,1,600,auto,,0.15,4.0
