name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,213409446,,-76.5185740,42.4487870,,,,,
,2,213409480,,-76.5178110,42.4497830,,,,,
,3,9168379232,,-76.5005138,42.4459622,,,,,
,4,213409896,,-76.5012600,42.4468844,,,,,
,5,213409899,,-76.5019980,42.4478080,,,,,
,6,213409924,,-76.4595374,42.4293598,,,,,
,7,213409935,,-76.4591526,42.4300439,,,,,
,8,213409942,,-76.5107630,42.4233737,,,,,
,9,213409954,,-76.5089305,42.4243034,,,,,
,10,213409959,,-76.4951253,42.4313923,,,,,
,11,213409964,,-76.4951080,42.4308640,,,,,
,12,213410337,,-76.5034531,42.4306824,,,,,
,13,213410339,,-76.5035514,42.4317984,,,,,
,14,213410388,,-76.5333820,42.4136480,,,,,
,15,213410399,,-76.5344250,42.4148770,,,,,
,16,213410402,,-76.4787470,42.4741363,,,,,
,17,213410421,,-76.4773380,42.4749470,,,,,
,18,213410439,,-76.4760720,42.4750760,,,,,
,19,213410448,,-76.4746540,42.4750360,,,,,
,20,213410468,,-76.4725860,42.4759270,,,,,
,21,213410492,,-76.4721330,42.4784383,,,,,
,22,213410513,,-76.4416670,42.4320120,,,,,
,23,7899064308,,-76.4432341,42.4428290,,,,,
,24,213410848,,-76.4970280,42.4438880,,,,,
,25,213410864,,-76.4992700,42.4448090,,,,,
,26,213410917,,-76.4922852,42.4625211,,,,,
,27,213410959,,-76.4948911,42.4637194,,,,,
,28,213410869,,-76.4906970,42.4642240,,,,,
,29,213411373,,-76.5287400,42.4599950,,,,,
,30,213411399,,-76.5269030,42.4603070,,,,,
,31,213411415,,-76.5267632,42.4599457,,,,,
,32,213411430,,-76.4907180,42.4554210,,,,,
,33,213411454,,-76.4921040,42.4560560,,,,,
,34,213411669,,-76.4791240,42.4815210,,,,,
,35,4890313700,,-76.4822597,42.4815147,,,,,
,36,4873078448,,-76.4845030,42.4819690,,,,,
,37,213411653,,-76.4847940,42.4813750,,,,,
,38,213413034,,-76.5112890,42.4923940,,,,,
,39,213413094,,-76.5116914,42.4903435,,,,,
,40,8805442410,,-76.4744608,42.4485437,,,,,
,41,213413292,,-76.4743883,42.4485318,,,,,
,42,2401633603,,-76.4745394,42.4485567,,,,,
,43,213413289,,-76.4747400,42.4485841,,,,,
,44,213413283,,-76.4757251,42.4485107,,,,,
,45,8805442411,,-76.4750670,42.4485969,,,,,
,46,213413286,,-76.4749353,42.4485957,,,,,
,47,213437435,,-76.4734627,42.4377397,,,,,
,48,213523248,,-76.4743764,42.4389738,,,,,
,49,213413744,,-76.5364140,42.4359870,,,,,
,50,213413745,,-76.5364770,42.4378730,,,,,
,51,3044882415,,-76.5134744,42.4572319,,,,,
,52,3044882452,,-76.5128447,42.4576559,,,,,
,53,213415319,,-76.5160580,42.4555390,,,,,
,54,12524573242,,-76.5178112,42.4546484,,,,,
,55,213415414,,-76.4886150,42.4806460,,,,,
,56,213415425,,-76.4853786,42.4806212,,,,,
,57,213415517,,-76.4991890,42.4776850,,,,,
,58,213415482,,-76.4950350,42.4798240,,,,,
,59,213415525,,-76.4987500,42.4784290,,,,,
,60,213415593,,-76.4992350,42.4778730,,,,,
,61,213413158,,-76.4785239,42.4578500,,,,,
,62,213420677,,-76.4783296,42.4568134,,,,,
,63,213420943,,-76.5141510,42.4330050,,,,,
,64,213420947,,-76.5149190,42.4330260,,,,,
,65,213420940,,-76.5140000,42.4330070,,,,,
,66,213420950,,-76.5150670,42.4330470,,,,,
,67,213421416,,-76.5086287,42.4449539,,,,,
,68,213421407,,-76.5083349,42.4450922,,,,,
,69,213422370,,-76.5144870,42.4322890,,,,,
,70,213422381,,-76.5132590,42.4323910,,,,,
,71,213422384,,-76.5131240,42.4324600,,,,,
,72,213422385,,-76.5124050,42.4327980,,,,,
,73,213422722,,-76.4812833,42.4896100,,,,,
,74,213422724,,-76.4786215,42.4896711,,,,,
,75,213423028,,-76.5132800,42.4538370,,,,,
,76,213423034,,-76.5136410,42.4547200,,,,,
,77,213423945,,-76.5055723,42.4525146,,,,,
,78,1320832358,,-76.5045401,42.4530093,,,,,
,79,213424814,,-76.4990822,42.4631020,,,,,
,80,213424839,,-76.5004360,42.4623010,,,,,
,81,835863758,,-76.4985081,42.4798410,,,,,
,82,213425013,,-76.4976830,42.4792130,,,,,
,83,213425169,,-76.5180130,42.4070380,,,,,
,84,213425171,,-76.5164560,42.4069250,,,,,
,85,213425174,,-76.5180250,42.4064100,,,,,
,86,213425176,,-76.5169640,42.4064220,,,,,
,87,213425507,,-76.5148960,42.4535576,,,,,
,88,3044881782,,-76.5155103,42.4532505,,,,,
,89,213425884,,-76.4939130,42.3963070,,,,,
,90,213425892,,-76.4942920,42.3984140,,,,,
,91,1236778545,,-76.4665236,42.4417635,,,,,
,92,10186612290,,-76.4686964,42.4420517,,,,,
,93,213427654,,-76.5042000,42.4728510,,,,,
,94,213427669,,-76.5052540,42.4747280,,,,,
,95,213427674,,-76.5005026,42.4667535,,,,,
,96,213427683,,-76.5003550,42.4671380,,,,,
,97,213427800,,-76.5186410,42.4383620,,,,,
,98,213427802,,-76.5192443,42.4384053,,,,,
,99,213413304,,-76.4744158,42.4479859,,,,,
,100,213428100,,-76.4744464,42.4475725,,,,,
,101,213428105,,-76.4737561,42.4475695,,,,,
,102,213413302,,-76.4737567,42.4479873,,,,,
,103,213428252,,-76.4719173,42.4505540,,,,,
,104,213428257,,-76.4714156,42.4516939,,,,,
,105,213533138,,-76.4884008,42.4453186,,,,,
,106,213429689,,-76.4896457,42.4462368,,,,,
,107,213429760,,-76.5086262,42.4452416,,,,,
,108,213431769,,-76.4998270,42.4617090,,,,,
,109,213431753,,-76.4984160,42.4628720,,,,,
,110,213431774,,-76.4984674,42.4629791,,,,,
,111,213431802,,-76.4984482,42.4661986,,,,,
,112,213431813,,-76.4832403,42.4801713,,,,,
,113,213415439,,-76.4831790,42.4807390,,,,,
,114,1320832083,,-76.5048798,42.4539676,,,,,
,115,10076888952,,-76.5038811,42.4565507,,,,,
,116,213442784,,-76.5063343,42.4534821,,,,,
,117,213432136,,-76.4703845,42.4437163,,,,,
,118,213432138,,-76.4704310,42.4441646,,,,,
,119,213432224,,-76.5272450,42.4265990,,,,,
,120,213432248,,-76.5235934,42.4266494,,,,,
,121,213432249,,-76.5233231,42.4266339,,,,,
,122,213432349,,-76.4424224,42.4503530,,,,,
,123,213432374,,-76.4428871,42.4514111,,,,,
,124,213432446,,-76.4414967,42.4515285,,,,,
,125,13413548617,,-76.4970079,42.4331150,,,,,
,126,13555981275,,-76.5012880,42.4292369,,,,,
,127,213432627,signal,-76.5081830,42.4356860,,,,,
,128,213431215,,-76.5094848,42.4360712,,,,,
,129,12335145727,,-76.4785892,42.4555379,,,,,
,130,213432818,,-76.4747640,42.4345590,,,,,
,131,213432823,,-76.4748010,42.4351210,,,,,
,132,213433227,,-76.4835586,42.4867475,,,,,
,133,213433233,,-76.4836249,42.4876290,,,,,
,134,213433235,,-76.4836484,42.4880645,,,,,
,135,213433382,,-76.4840954,42.4645889,,,,,
,136,213433435,,-76.4798935,42.4697808,,,,,
,137,213433351,,-76.4866210,42.4637320,,,,,
,138,213433310,,-76.4901590,42.4651151,,,,,
,139,213433775,,-76.4858120,42.4911510,,,,,
,140,213433791,,-76.4856230,42.4898430,,,,,
,141,213433803,,-76.4661930,42.4270900,,,,,
,142,213433805,,-76.4672206,42.4261947,,,,,
,143,213434894,,-76.5022310,42.4527420,,,,,
