link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_node_id,macro_link_id,meso_link_id,cell_type,additional_cost,lane_no,mvmt_txt_id,ctrl_type,allowed_uses
0,0,1,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9525980 33.2609298, -111.9525667 33.2608727)",,0,0,1,0,1,,,auto
1,1,2,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9525667 33.2608727, -111.9525355 33.2608156)",,0,0,1,0,1,,,auto
2,2,3,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9525355 33.2608156, -111.9525042 33.2607585)",,0,0,1,0,1,,,auto
3,3,4,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9525042 33.2607585, -111.9524730 33.2607014)",,0,0,1,0,1,,,auto
4,4,5,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9524730 33.2607014, -111.9524417 33.2606443)",,0,0,1,0,1,,,auto
5,5,6,1,6.96,1,2300,120,motorway,1,"LINESTRING (-111.9524417 33.2606443, -111.9524040 33.2605901)",,0,0,1,0,1,,,auto
6,6,7,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9524040 33.2605901, -111.9523647 33.2605366)",,0,0,1,0,1,,,auto
7,7,8,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9523647 33.2605366, -111.9523255 33.2604831)",,0,0,1,0,1,,,auto
8,8,9,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9523255 33.2604831, -111.9522863 33.2604296)",,0,0,1,0,1,,,auto
9,9,10,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9522863 33.2604296, -111.9522470 33.2603761)",,0,0,1,0,1,,,auto
10,10,11,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9522470 33.2603761, -111.9522078 33.2603225)",,0,0,1,0,1,,,auto
11,11,12,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9522078 33.2603225, -111.9521685 33.2602690)",,0,0,1,0,1,,,auto
12,12,13,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9521685 33.2602690, -111.9521293 33.2602155)",,0,0,1,0,1,,,auto
13,13,14,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9521293 33.2602155, -111.9520901 33.2601620)",,0,0,1,0,1,,,auto
14,14,15,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9520901 33.2601620, -111.9520508 33.2601085)",,0,0,1,0,1,,,auto
15,15,16,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9520508 33.2601085, -111.9520116 33.2600550)",,0,0,1,0,1,,,auto
16,16,17,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9520116 33.2600550, -111.9519724 33.2600015)",,0,0,1,0,1,,,auto
17,17,18,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9519724 33.2600015, -111.9519331 33.2599480)",,0,0,1,0,1,,,auto
18,18,19,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9519331 33.2599480, -111.9518939 33.2598945)",,0,0,1,0,1,,,auto
19,19,20,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9518939 33.2598945, -111.9518547 33.2598410)",,0,0,1,0,1,,,auto
20,20,21,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9518547 33.2598410, -111.9518154 33.2597874)",,0,0,1,0,1,,,auto
21,21,22,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9518154 33.2597874, -111.9517762 33.2597339)",,0,0,1,0,1,,,auto
22,22,23,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9517762 33.2597339, -111.9517370 33.2596804)",,0,0,1,0,1,,,auto
23,23,24,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9517370 33.2596804, -111.9516977 33.2596269)",,0,0,1,0,1,,,auto
24,24,25,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9516977 33.2596269, -111.9516585 33.2595734)",,0,0,1,0,1,,,auto
25,25,26,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9516585 33.2595734, -111.9516193 33.2595199)",,0,0,1,0,1,,,auto
26,26,27,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9516193 33.2595199, -111.9515800 33.2594664)",,0,0,1,0,1,,,auto
27,27,28,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9515800 33.2594664, -111.9515408 33.2594129)",,0,0,1,0,1,,,auto
28,28,29,1,6.97,1,2300,120,motorway,1,"LINESTRING (-111.9515408 33.2594129, -111.9515018 33.2593592)",,0,0,1,0,1,,,auto
