  density,   flow,      speed,      queue
  -0.00000,  28.79502,  60.00532,  -0.00000
  -0.00000,  32.15642,  60.00484,  -0.00000
  -0.00000,  36.87737,  60.00319,  -0.00000
   0.00000,  36.20168,  60.00134,  -0.00000
   0.00000,  32.90382,  60.00028,  -0.00000
   0.00000,  25.92818,  60.00029,  -0.00000
   0.00000,  17.95337,  60.00119,  -0.00000
   0.00000,  15.65003,  60.00149,  -0.00000
   0.00000,  18.25937,  60.00092,  -0.00000
   0.00000,  21.11017,  59.99986,  -0.00000
   0.00000,  21.28606,  59.99897,  -0.00000
   0.00000,  16.74856,  59.99894,  -0.00000
   0.00000,  10.13508,  59.99946,  -0.00000
   0.00000,   5.39344,  60.00032,  -0.00000
   0.00000,   6.30819,  60.00054,  -0.00000
   0.00000,  14.59023,  60.00034,  -0.00000
   0.00000,  22.11164,  59.99960,  -0.00000
   0.00000,  27.29587,  59.99918,  -0.00000
   0.00000,  34.72860,  59.99878,  -0.00000
   0.00000,  35.38803,  59.99881,  -0.00000
   0.00000,  36.97357,  59.99829,  -0.00000
   0.00000,  39.95864,  59.99747,  -0.00000
   0.00000,  40.56926,  59.99709,  -0.00000
   0.00000,  37.95259,  59.99780,  -0.00000
   0.00000,  34.26832,  59.99936,  -0.00000
   0.00000,  31.74112,  60.00114,  -0.00000
   0.00000,  33.88212,  60.00214,  -0.00000
   0.00000,  39.69508,  60.00174,  -0.00000
   0.00000,  44.95911,  60.00062,  -0.00000
   0.00000,  44.54528,  59.99976,  -0.00000
   0.00000,  36.96766,  59.99972,  -0.00000
   0.00000,  29.39413,  60.00050,  -0.00000
   0.00000,  25.23208,  60.00123,  -0.00000
   0.00000,  25.53198,  60.00201,  -0.00000
   0.00000,  31.32659,  60.00144,  -0.00000
   0.00000,  36.85184,  60.00073,  -0.00000
  -0.00000,  39.88839,  60.00022,  -0.00000
  -0.00000,  38.77426,  60.00029,  -0.00000
  -0.00000,  37.68366,  60.00027,  -0.00000
  -0.00000,  36.16003,  59.99966,  -0.00000
  -0.00000,  38.63339,  59.99862,  -0.00000
   0.00000,  40.50425,  59.99768,  -0.00000
   0.00000,  39.42852,  59.99769,  -0.00000
   0.00000,  36.52502,  59.99825,  -0.00000
   0.00000,  34.66455,  59.99895,  -0.00000
   0.00000,  36.48627,  59.99888,  -0.00000
   0.00000,  40.45930,  59.99807,  -0.00000
   0.00000,  42.02967,  59.99728,  -0.00000
   0.00000,  37.65999,  59.99725,  -0.00000
   0.00000,  30.92464,  59.99847,  -0.00000
   0.00000,  24.96164,  60.00031,  -0.00000
   0.00000,  24.78063,  60.00184,  -0.00000
   0.00000,  31.88972,  60.00214,  -0.00000
   0.00000,  42.04258,  60.00136,  -0.00000
   0.00000,  51.20005,  59.99970,  -0.00000
  -0.00000,  52.59377,  59.99891,  -0.00000
  -0.00000,  48.81603,  59.99882,  -0.00000
  -0.00000,  43.37349,  59.99861,  -0.00000
  -0.00000,  41.62057,  59.99825,  -0.00000
   0.00000,  41.46897,  59.99762,  -0.00000
   0.00000,  39.05485,  59.99735,  -0.00000
   0.00000,  35.84260,  59.99778,  -0.00000
  -0.00000,  31.04369,  59.99883,  -0.00000
  -0.00000,  26.84110,  59.99930,  -0.00000
  -0.00000,  27.13234,  59.99941,  -0.00000
  -0.00000,  29.04700,  59.99876,  -0.00000
   0.00000,  26.59896,  59.99816,  -0.00000
   0.00000,  22.75707,  59.99830,  -0.00000
   0.00000,  16.99772,  59.99925,  -0.00000
   0.00000,  15.43003,  60.00070,  -0.00000
   0.00000,  17.12933,  60.00133,  -0.00000
   0.00000,  24.80151,  60.00084,  -0.00000
   0.00000,  35.66573,  59.99972,  -0.00000
   0.00000,  39.47054,  59.99889,  -0.00000
  -0.00000,  37.47551,  59.99897,  -0.00000
  -0.00000,  33.80427,  59.99969,  -0.00000
  -0.00000,  30.88107,  60.00061,  -0.00000
  -0.00000,  33.12070,  60.00090,  -0.00000
  -0.00000,  37.95560,  60.00105,  -0.00000
  -0.00000,  42.65943,  60.00062,  -0.00000
  -0.00000,  43.71135,  60.00048,  -0.00000
  -0.00000,  42.33009,  60.00047,  -0.00000
  -0.00000,  39.98263,  60.00042,  -0.00000
  -0.00000,  39.47402,  59.99980,  -0.00000
  -0.00000,  35.33889,  59.99949,  -0.00000
  -0.00000,  32.54079,  59.99904,  -0.00000
  -0.00000,  27.40195,  59.99953,  -0.00000
  -0.00000,  22.34557,  60.00117,  -0.00000
  -0.00000,  20.16019,  60.00259,  -0.00000
  -0.00000,  24.22985,  60.00309,  -0.00000
  -0.00000,  35.19796,  60.00224,  -0.00000
  -0.00000,  44.11411,  60.00076,  -0.00000
  -0.00000,  46.79444,  59.99956,  -0.00000
  -0.00000,  45.20198,  59.99908,  -0.00000
  -0.00000,  40.02429,  59.99954,  -0.00000
  -0.00000,  38.44939,  59.99983,  -0.00000
   0.00000,  42.73633,  59.99995,  -0.00000
   0.00000,  48.05497,  59.99933,  -0.00000
   0.00000,  50.27290,  59.99914,  -0.00000
   0.00000,  49.36093,  59.99941,  -0.00000
  -0.00000,  44.09963,  60.00052,  -0.00000
  -0.00000,  39.81704,  60.00156,  -0.00000
   0.00000,  36.00611,  60.00183,  -0.00000
   0.00000,  36.60643,  60.00193,  -0.00000
   0.00000,  37.05478,  60.00220,  -0.00000
   0.00000,  36.19963,  60.00303,  -0.00000
